ENTIDADE,DATA,SURFACTANTES,PH,FÓSFORO,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FERRO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL,ALCALINIDADE,UMIDADE,PORCENTAGEM_SÓLIDOS,COMPOSTOS,COR_VERDADEIRA,SÓLIDOS,ÓLEOS,ACIDEZ
Reator,2017-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.4,,,,,,,
Reator,2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.1,,,,,,,
Reator,2017-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.2,,,,,,,
Reator,2017-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.0,,,,,,,
Reator,2017-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2,,,,,,,
Reator,2017-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.3,,,,,,,
Reator,2017-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.3,,,,,,,
Reator,2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.2,,,,,,,
Reator,2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.4,,,,,,,
Reator,2018-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.4,,,,,,,
Reator,2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.6,,,,,,,
Reator,2018-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308.5,,,,,,,
Reator,2018-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.3,,,,,,,
Reator,2018-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,,,,,,
Reator,2018-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4,,,,,,,
Reator,2018-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.8,,,,,,,
Reator,2018-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.5,,,,,,,
Reator,2018-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.9,,,,,,,
Reator,2018-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.9,,,,,,,
