ENTIDADE,DATA,SURFACTANTES,PH,FÓSFORO,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FERRO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL,ALCALINIDADE,UMIDADE,PORCENTAGEM_SÓLIDOS,COMPOSTOS,COR_VERDADEIRA,SÓLIDOS,ÓLEOS,ACIDEZ
P1,2017-07-11,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-08-08,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-09-12,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-10-10,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-11-07,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-12-12,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-01-30,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-02-15,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-03-13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-04-10,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-05-08,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-06-12,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-07-10,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-08-07,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-09-11,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-10-09,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-11-13,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-12-11,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-01-08,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-02-12,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-03-12,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
