ENTIDADE,DATA,SURFACTANTES,PH,FÓSFORO,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FERRO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL,ALCALINIDADE,UMIDADE,PORCENTAGEM_SÓLIDOS,COMPOSTOS,COR_VERDADEIRA,SÓLIDOS,ÓLEOS,ACIDEZ
P5,2013-01-09,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2013-02-14,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2013-03-06,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2013-04-03,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2013-05-08,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2013-06-05,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2013-07-03,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2013-08-07,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2013-09-04,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2013-10-02,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2013-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2013-12-04,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2014-01-08,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2014-02-05,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2014-03-06,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2014-04-02,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2014-05-07,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2014-06-04,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2014-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2014-08-06,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2014-09-03,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2014-10-01,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2014-11-05,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2014-12-04,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2015-01-07,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2015-02-04,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,2015-03-06,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
