ENTIDADE,DATA,SURFACTANTES,PH,FÓSFORO,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FERRO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL,ALCALINIDADE,UMIDADE,PORCENTAGEM_SÓLIDOS,COMPOSTOS,COR_VERDADEIRA,SÓLIDOS,ÓLEOS,ACIDEZ
P4,2013-01-09,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-02-14,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-03-06,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-04-03,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-05-08,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-06-05,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-07-03,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-08-07,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-09-04,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-10-02,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-12-04,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-01-08,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-02-05,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-03-06,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-04-02,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-05-07,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-06-04,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-08-06,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-09-03,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-10-01,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-11-05,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-12-04,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-01-07,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-02-04,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-03-06,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-04-01,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-05-06,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-06-03,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-07-01,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-08-05,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-09-03,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-10-08,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-11-04,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-12-02,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-01-06,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-02-05,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-03-02,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-04-06,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-05-04,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-06-01,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-07-06,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-08-03,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-09-08,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-10-05,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-11-03,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-12-07,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-01-04,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-02-01,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-03-01,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-04-05,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-05-03,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-06-07,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-07-07,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-08-02,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-09-06,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-10-04,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-11-01,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-12-06,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-01-24,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-02-15,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-03-07,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-04-04,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-05-02,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-06-06,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-07-04,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-08-01,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-09-05,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-10-03,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-11-07,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-12-05,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2019-01-02,,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2019-02-06,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2019-03-08,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-04-03,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2019-05-03,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2019-06-05,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2019-07-03,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2019-08-07,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2019-09-04,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2019-10-02,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2019-11-06,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2019-12-04,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-01-22,,,,,,,,,,,,,,,,78.4,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-02-14,,,,,,,,,,,,,,,,40.3,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-03-06,,,,,,,,,,,,,,,,333.7,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-04-03,,,,,,,,,,,,,,,,230.1,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-05-08,,,,,,,,,,,,,,,,470.4,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-06-05,,,,,,,,,,,,,,,,312.4,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-07-03,,,,,,,,,,,,,,,,168.5,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-08-07,,,,,,,,,,,,,,,,185.6,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-09-04,,,,,,,,,,,,,,,,82.5,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-10-02,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,
P4,2013-12-04,,,,,,,,,,,,,,,,248.4,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-01-08,,,,,,,,,,,,,,,,205.2,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-02-05,,,,,,,,,,,,,,,,163.4,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-03-06,,,,,,,,,,,,,,,,190.1,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-04-02,,,,,,,,,,,,,,,,206.6,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-05-07,,,,,,,,,,,,,,,,141.9,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-06-04,,,,,,,,,,,,,,,,223.6,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-08-06,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-09-03,,,,,,,,,,,,,,,,179.2,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-10-01,,,,,,,,,,,,,,,,83.2,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-11-05,,,,,,,,,,,,,,,,31.8,,,,,,,,,,,,,,,,,,,,,,,
P4,2014-12-04,,,,,,,,,,,,,,,,287.1,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-01-07,,,,,,,,,,,,,,,,81.9,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-02-04,,,,,,,,,,,,,,,,175.7,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-03-06,,,,,,,,,,,,,,,,94.5,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-04-01,,,,,,,,,,,,,,,,211.2,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-05-06,,,,,,,,,,,,,,,,222.6,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-06-03,,,,,,,,,,,,,,,,213.0,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-07-01,,,,,,,,,,,,,,,,44.8,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-08-05,,,,,,,,,,,,,,,,44.1,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-09-03,,,,,,,,,,,,,,,,68.7,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-10-08,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-11-04,,,,,,,,,,,,,,,,141.1,,,,,,,,,,,,,,,,,,,,,,,
P4,2015-12-02,,,,,,,,,,,,,,,,199.9,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-01-06,,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-02-05,,,,,,,,,,,,,,,,36.4,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-03-02,,,,,,,,,,,,,,,,183.6,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-04-06,,,,,,,,,,,,,,,,429.3,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-05-04,,,,,,,,,,,,,,,,273.5,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-06-01,,,,,,,,,,,,,,,,615.1,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-07-06,,,,,,,,,,,,,,,,373.5,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-08-03,,,,,,,,,,,,,,,,200.8,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-09-08,,,,,,,,,,,,,,,,410.6,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-10-05,,,,,,,,,,,,,,,,391.8,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-11-03,,,,,,,,,,,,,,,,728.6,,,,,,,,,,,,,,,,,,,,,,,
P4,2016-12-07,,,,,,,,,,,,,,,,126.4,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-01-04,,,,,,,,,,,,,,,,325.5,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-02-01,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-03-01,,,,,,,,,,,,,,,,440.3,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-04-05,,,,,,,,,,,,,,,,380.0,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-05-03,,,,,,,,,,,,,,,,1720.4,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-06-07,,,,,,,,,,,,,,,,310.0,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-07-07,,,,,,,,,,,,,,,,544.9,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-08-02,,,,,,,,,,,,,,,,669.2,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-09-06,,,,,,,,,,,,,,,,506.0,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-10-04,,,,,,,,,,,,,,,,545.6,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-11-01,,,,,,,,,,,,,,,,184.3,,,,,,,,,,,,,,,,,,,,,,,
P4,2017-12-06,,,,,,,,,,,,,,,,234.3,,,,,,,,,,,,,,,,,,,,,,,
P4,2018-01-24,,,,,,,,,,,,,,,,50.1,,,,,,,,,,,,,,,,,,,,,,,
