ENTIDADE,DATA,SURFACTANTES,PH,FÓSFORO,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FERRO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL,ALCALINIDADE,UMIDADE,PORCENTAGEM_SÓLIDOS,COMPOSTOS,COR_VERDADEIRA,SÓLIDOS,ÓLEOS,ACIDEZ
Pd,2018-10-03,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,
Pd,2018-11-07,,,,,,,,,,,,,,,,49.3,,,,,,,,,,,,,,,,,,,,,,,
Pd,2018-12-05,,,,,,,,,,,,,,,,25.9,,,,,,,,,,,,,,,,,,,,,,,
Pd,2019-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2019-11-06,,,,,,,,,,,,,,,,27.4,,,,,,,,,,,,,,,,,,,,,,,
Pd,2019-12-04,,,,,,,,,,,,,,,,40.2,,,,,,,,,,,,,,,,,,,,,,,
Pd,2013-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2013-02-14,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2013-03-06,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2013-04-03,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2013-05-08,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2013-06-05,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2013-07-03,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2013-08-07,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2013-09-04,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2013-10-24,,,,,,,,,,,,,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2013-12-04,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2014-01-08,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,
