DATA DA COLETA,P1 - Entrada ETE Unisinos,P2 / P6 - Saída da ETE Unisinos,P3 - Arroio São João,TODA CONSEMA - TRIMENSAL (P1),TODA CONSEMA - TRIMENSAL (P2),LABORATÓRIO ALAC,OBSERVAÇÕES
2018-08-09,10,5,20,,,,
2018-09-13,<5,<5,<5,,,,
2018-10-11,20,30,20,,,,
2018-11-08,20,30,20,,,,
2018-12-13,30,30,30,,,,
2018-01-11,50,20,20,,,,
2018-02-08,20,10,5,,,,
2018-03-08,20,20,20,,,,
2018-04-19,30,20,30,,,,
2018-05-10,150,10,10,,,,
2018-06-14,30,40,50,,,,
2018-07-12,20,30,20,,,,
2018-08-09,10,5,20,,,,
2018-09-13,<5,<5,<5,,,,
2018-10-11,20,30,20,,,,
2018-11-08,20,30,20,,,,
2018-12-13,30,30,30,,,,
2019-01-10,20,30,10,,,,
2019-02-14,50,20,,,,,
2019-03-07,30,10,10,,,,
2019-04-11,70,50,50,,,,
2019-05-09,50,25,35,,,,
2019-06-13,45,25,< 19,,,,
2019-07-11,40,30,< 19,,,,
2019-08-08,50,45,20,,,,
2019-09-12,30,19,30,,,,
2019-10-10,30,20,20,,,,
2019-11-07,30,< 19,20,,,,
2019-12-12,20,19,31.1,,,,
