PARÂMETROS,Data,Alumínio Total,Arsênio Total,Bário Total,Boro Total,Cádmio Total,Chumbo Total,Cianeto Total,Cobalto Total,Cobre Total,Cromo Total,Cromo Hexavalente,DBO,DQO,Estanho Total,Fenóis Total,Ferro Total,Fósforo Total,Fluoreto,Lítio Total,Manganês Total,Mercúrio,Molibdênio Total,Níquel Total,Nitrogênio Amoniacal,Nitrogênio Total Kjeldahl,Coliformes Termotolerantes,Prata Total,Mercúrio Total,Cianeto,Índice de Fenóis,Nitrogênio Total,Fenol
P1,2017-10-01,1.94,"< 0,010",0.047,"< 0,050","< 0,004","< 0,006",,"< 0,010",0.104,"< 0,009","< 0,0005",40.0,,"< 0,050",,2.76,1.18,"< 0,05","<0,090",0.127,,"< 0,010","< 0,010",6.84,13.39,,,"< 1,0","< 0,005",,,"< 0,04"
P2/P6,2017-10-01,0.24,0.01,0.054000000000000006,0.05,0.004,0.006,,0.01,0.106,0.009,0.0005,15.0,,0.05,,1.2,4.19,0.355,0.09,0.4,,0.01,0.01,14.66,17.69,,,1,0.005,,,0.04
P1,2018-01-01,0.41100000000000003,0.01,0.045,0.05,0.004,0.006,,0.01,0.026,0.009000000000000001,0.02,47.5,,"< 0,05",,4.09,2.06,"< 0,1","< 0,09",0.2,,"< 0,01",0.01,17.992,29.813000000000002,,"< 0,01","< 0,1",0.05,,,"< 0,04"
P2/P6,2018-01-01,0.13,0.01,0.03,0.05,0.004,0.006,,0.01,0.009,0.009000000000000001,0.02,11.0,,"< 0,05",,0.75,3.07,0.508,0.09,0.04,,0.1,0.1,31.745,34.999,,0.1,0.1,0.05,,,0.04
P1,2018-04-01,1.54,"< 0,01",0.27,2.65,"< 0,004",0.67,,"< 0,01",4.22,0.009000000000000001,0.324,150.0,,"< 0,05",,6.19,5.872999999999999,"< 0,1","< 0,09",0.27,,"< 0,01","< 0,01",,,,"< 0,01","< 0,1","< 0,05",,,"< 0,04"
P2/P6,2018-04-01,0.21,"< 0,01",0.11599999999999999,0.178,"< 0,004","< 0,006",,"< 0,01","< 0,01",0.009000000000000001,0.02,34.0,,"< 0,05",,1.236,6.631,0.761,0.09,0.187,,0.1,0.1,,,,0.1,0.1,"< 0,05",,,0.04
P1,2018-07-01,0.465,"< 0,01",0.19699999999999998,0.212,"< 0,004","< 0,006",,"< 0,01",0.025,0.009000000000000001,0.02,76.0,,"< 0,05",,4.7860000000000005,5.4110000000000005,0.629,"< 0,09",0.265,,"< 0,01","< 0,01",,,,"< 0,01","< 0,1","< 0,02",,,2.3
P2/P6,2018-07-01,0.305,"< 0,01",0.20199999999999999,0.07,"< 0,004","< 0,006",,"< 0,01",0.021,0.009000000000000001,0.02,13.0,,"< 0,05",,1.286,4.465,0.626,0.09,0.159,,0.1,0.1,,,,0.1,0.1,"< 0,02",,,0.04
P1,2018-10-01,0.565,"< 0,01",0.065,"< 0,05","< 0,004","< 0,006",,"< 0,01","< 0,01",0.02,0.025,114.0,,"< 0,05",,5.515,4.505,0.517,"< 0,09",0.23,,"< 0,01","< 0,01",,,,"< 0,01","< 0,1","< 0,02",,,0.19
P2/P6,2018-10-01,0.36200000000000004,"< 0,01",0.033,"< 0,05","< 0,004","< 0,006",,"< 0,01","< 0,01",0.009000000000000001,0.02,15.0,,"< 0,05",,1.297,5.1339999999999995,0.142,0.09,0.075,,0.1,0.1,,,,0.1,0.1,"< 0,02",,,0.04
P1,2018-01-01,0.41100000000000003,0.01,0.045,0.05,0.004,0.006,,0.01,0.026,0.009000000000000001,0.02,47.5,,"< 0,05",,4.09,2.06,"< 0,1","< 0,09",0.2,,"< 0,01",0.01,17.992,29.813000000000002,,"< 0,01","< 0,1",0.05,,,"< 0,04"
P2/P6,2018-01-01,0.13,0.01,0.03,0.05,0.004,0.006,,0.01,0.009,0.009000000000000001,0.02,11.0,,"< 0,05",,0.75,3.07,0.508,0.09,0.04,,0.1,0.1,31.745,34.999,,0.1,0.1,0.05,,,0.04
P1,2018-04-01,1.54,"< 0,01",0.27,2.65,"< 0,004",0.67,,"< 0,01",4.22,0.009000000000000001,0.324,150.0,,"< 0,05",,6.19,5.872999999999999,"< 0,1","< 0,09",0.27,,"< 0,01","< 0,01",,,,"< 0,01","< 0,1","< 0,05",,,"< 0,04"
P2/P6,2018-04-01,0.21,"< 0,01",0.11599999999999999,0.178,"< 0,004","< 0,006",,"< 0,01","< 0,01",0.009000000000000001,0.02,34.0,,"< 0,05",,1.236,6.631,0.761,0.09,0.187,,0.1,0.1,,,,0.1,0.1,"< 0,05",,,0.04
P1,2018-07-01,0.465,"< 0,01",0.19699999999999998,0.212,"< 0,004","< 0,006",,"< 0,01",0.025,0.009000000000000001,0.02,76.0,,"< 0,05",,4.7860000000000005,5.4110000000000005,0.629,"< 0,09",0.265,,"< 0,01","< 0,01",,,,"< 0,01","< 0,1","< 0,02",,,2.3
P2/P6,2018-07-01,0.305,"< 0,01",0.20199999999999999,0.07,"< 0,004","< 0,006",,"< 0,01",0.021,0.009000000000000001,0.02,13.0,,"< 0,05",,1.286,4.465,0.626,0.09,0.159,,0.1,0.1,,,,0.1,0.1,"< 0,02",,,0.04
P1,2018-10-01,0.565,"< 0,01",0.065,"< 0,05","< 0,004","< 0,006",,"< 0,01","< 0,01",0.02,0.025,114.0,,"< 0,05",,5.515,4.505,0.517,"< 0,09",0.23,,"< 0,01","< 0,01",,,,"< 0,01","< 0,1","< 0,02",,,0.19
P2/P6,2018-10-01,0.36200000000000004,"< 0,01",0.033,"< 0,05","< 0,004","< 0,006",,"< 0,01","< 0,01",0.009000000000000001,0.02,15.0,,"< 0,05",,1.297,5.1339999999999995,0.142,0.09,0.075,,0.1,0.1,,,,0.1,0.1,"< 0,02",,,0.04
P1,2019-01-10,0.203,0.01,0.047,0.05,0.004,0.006,,0.01,0.01,0.009000000000000001,0.02,37.0,,0.05,,5.9670000000000005,3.522,0.1,0.09,0.324,,0.01,0.01,32.622,41.255,,0.01,0.1,0.02,,,0.04
P2/P6,2019-01-10,0.05,0.01,0.054000000000000006,0.05,0.004,0.006,,0.006,0.01,0.009000000000000001,0.02,8.7,,0.05,,1.9869999999999999,3.408,0.1,0.09,0.342,,0.01,0.01,39.269,42.015,,0.01,0.1,0.02,,,0.04
