PARÂMETROS,Data,Alumínio Total,Arsênio Total,Bário Total,Boro Total,Cádmio Total,Chumbo Total,Cianeto Total,Cobalto Total,Cobre Total,Cromo Total,Cromo Hexavalente,DBO,DQO,Estanho Total,Fenóis Total,Ferro Total,Fósforo Total,Fluoreto,Lítio Total,Manganês Total,Mercúrio,Molibdênio Total,Níquel Total,Nitrogênio Amoniacal,Nitrogênio Total Kjeldahl,Coliformes Termotolerantes,Prata Total,Mercúrio Total,Cianeto,Índice de Fenóis,Nitrogênio Total,Fenol
P1,2014-06-08,0.355,0.002,0.053,0.187,,0.002,0.004,,0.184,0.013999999999999999,,64.5,209.0,,0.10300000000000001,3.54,4.32,0.7879999999999999,0.018000000000000002,0.18600000000000003,,0.015,0.017,56.4,60.0,4352000.0,0.003,,,,,
P2/P6,2014-06-08,0.141,,0.031,,,0.174,,0.004,0.174,0.008,,18.7,51.2,,0.098,0.522,5.15,1.11,0.002,0.156,,0.003,0.043,65.6,66.8,7270000.0,,,,,,
P1,2014-03-11,1.09,0.003,0.085,,0.0002,0.0026,,0.001,0.027999999999999997,0.002,,230.0,672.0,,0.483,4.58,9.94,0.396,0.002,0.226,0.0002,0.003,0.005,52.6,78.3,,,,,,,
P2/P6,2014-03-11,0.053,,0.026000000000000002,,,,,,,,,9.44,26.0,,0.02,0.418,2.24,0.986,,0.12300000000000001,,,0.001,18.2,22.9,,,,,,,
P1,2015-01-01,360.0,<10,80.0,60.0,<1,<10,,<10,<5,<10,"<0,01",<2,<5,<10,,5800.0,<1,0.4,<10,350.0,,<10,<10,7.7,13.0,,<10,"<0,05",<50,0.045,13.0,
P2/P6,2015-01-01,90.0,<10,40.0,80.0,<1,<10,,<10,15,<10,"<0,01",<2,<5,<10,,1060.0,1,0.9,<10,80.0,,<10,<10,17.0,25.0,,<10,"<0,010",<50,"<0,02",32.0,
P1,2015-04-01,240.0,<10,30.0,20.0,<1,<10,,<10,15,<10,"<0,01",164,335,<10,,2210.0,4.2,1.28,<10,120.0,,<10,<10,25.8,32.0,,<10,"<0,075",<50,"<0,02",32.5,
P2/P6,2015-04-01,60.0,<10,40.0,20.0,<1,<10,,<10,<5,<10,"<0,01",32,80,<10,,330.0,8.6,1.5,<10,180.0,,<10,<10,88.7,100.0,,<10,"<0,075",<50,"<0,02",100.0,
P1,2015-07-01,380.0,<10,50.0,50.0,<1,<10,,<10,<5,<10,"<0,01",96,200,<10,,4710.0,4.37,0.27,<10,230.0,,<10,<10,24.0,24.3,,<10,"<0,075",<50,"<0,02",24.3,
P2/P6,2015-07-01,90.0,<10,40.0,70.0,<1,<10,,<10,5,<10,"<0,01",36,75,<10,,609.0,6.44,0.64,<10,165.0,,<10,<10,66.3,71.5,,<10,"<0,075",<50,"<0,02",71.5,
P1,2015-10-01,2570.0,<10,90.0,50.0,<1,10,,<10,55,<10,"<0,001",624,1250,<10,,6670.0,6.82,0.3,<10,180.0,,<10,<10,28.9,33.6,,<10,"<0,075","<0,05","<0,02",33.6,
P2/P6,2015-10-01,70.0,<10,40.0,30.0,<1,<10,,<10,<5,<10,"<0,01",27.6,70,<10,,530.0,5.25,0.4,<10,180.0,,<10,<10,66.2,75.6,,<10,"<0,075","<0,05","<0,02",75.6,
P1,2015-01-01,360.0,<10,80.0,60,<1,<10,,<10,<5,<10,"<0,01",<2,<5,<10,,5800.0,<1,0.4,<10,350.0,,<10,<10,7.7,13.0,,<10,"<0,05",<50,0.045,13.0,
P2/P6,2015-01-01,90.0,<10,40.0,80,<1,<10,,<10,15,<10,"<0,01",<2,<5,<10,,1060.0,1,0.9,<10,80.0,,<10,<10,17.0,25.0,,<10,"<0,010",<50,"<0,02",32.0,
P1,2015-04-01,240.0,<10,30.0,20,<1,<10,,<10,15,<10,"<0,01",164,335,<10,,2210.0,4.2,1.28,<10,120.0,,<10,<10,25.8,32.0,,<10,"<0,075",<50,"<0,02",32.5,
P2/P6,2015-04-01,60.0,<10,40.0,20,<1,<10,,<10,<5,<10,"<0,01",32,80,<10,,330.0,8.6,1.5,<10,180.0,,<10,<10,88.7,100.0,,<10,"<0,075",<50,"<0,02",100.0,
