DATA DA COLETA,P1,P2/P6,P1/P2,P3,P4,P5,OBSERVAÇÕES
2019-01-10,240000,16000,0.9333333333333333,16000,2300000,2400,
2019-02-07,1600000,350000,0.78125,7090,50400000,210,
2019-03-07,240000,540000,-1.25,200,540000,330,
2019-04-11,13000,23000,0.9653846153846154,450,350000,170,
2019-05-09,350000,23000,0.9342857142857143,110,9200000,490,
2019-06-13,280000,240000,0.1428571428571429,68,35,34,
2019-07-11,280000,240000,0.1428571428571429,19,35000000,340,
2019-08-08,3500000,540000,0.8457142857142858,93,78000,1300,
2019-09-12,170000,46000,0.7294117647058824,110,35000000,9200,
2019-10-10,40000,350000,-7.75,33,3500000,210,
2019-11-07,280000,3500,0.9875,490,490000,490,
2019-12-12,280000,3500,0.9875,490,490000,490,
