DATA DA COLETA,P1 - Entrada ETE,P2 / P6 - Saída da ETE,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2017-01-10,0.8,3.1,0.9,
2017-02-07,2.6,4.5,,
2017-03-07,12.8,9.1,,
2017-04-11,5.2,6.9,1.9,
2017-05-09,11.1,8.0,,
2017-06-13,2.9,2.6,,
2017-07-11,4.9,4.7,6.5,
2017-08-08,5.7,4.4,,
2017-09-12,8.04,7.7,,
2017-10-10,5.1,6.0,,
2017-11-07,5.4,5.3,,
2017-12-12,0.48,3.47,,
