Parâmetros,Data,Alumínio Total,Cobre Total,Cromo Total,Manganês Total,Prata Total
itt Fossil,2014-03-01 00:00:00,26.1,0.046,0.043,1.89,0.017
ANAMBI,2014-07-05 00:00:00,0.045,0.056,0.097,0.96,0.094
itt Fossil / NUCMAT*,2014-10-01 00:00:00,1.98,0.031,0.748,0.241,
