DATA DA COLETA,UMIDADE % p/p,ALUMÍNIO (mg/kg),COBRE (mg/kg),CROMO (mg/kg),MANGANÊS (mg/kg),NÍQUEL (mg/kg),LABORATÓRIO ALAC,OBSERVAÇÕES
2013-02-05,22.7,16994,249.0,0.1,44.2,17.2,x,
2013-05-07,71.2,2109,39.4,9.44,62.1,7.42,x,
2013-08-06,74.8,8759,230.0,35.8,138.0,75.7,x,
2013-11-05,76.3,1176,5104.0,3.04,4.91,22.4,x,
