DATA DA COLETA,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6  - Saída da ETE Unisinos,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2017-01-10,11.8,32,29.8,26.7,10,10.2,10.0,10,18.6,
2017-02-07,16.8,<10,<10,19.4,20.5,17.8,19.2,10,,
2017-03-07,10.7,,,,10.4,10,14.2,10,,"O CBR estava paralizado neste dia, não havendo coleta nos pontos intermediários."
2017-04-11,35.01,<10,<10,11.1,15,14.8,165.8,15.5,19.1,
2017-05-09,37.3,,,,9.8,12,272.5,23.6,,A coleta neste dia foi realizada no P6.
2017-06-13,21.5,22.3,16.9,20.7,12,16.1,20.8,15.9,,
2017-07-11,28.6,22.2,26.8,17.2,14.7,13.3,145.7,18.9,16.8,
2017-08-08,38.8,,,,10,10,49.5,10,,A coleta neste dia foi realizada no P6.
2017-09-12,32.9,<10,26.4,25.5,<10,<10,59.1,<10,,
2017-10-10,18.4,18.2,16.4,13.1,15.5,<10,10.3,<10,<10,
2017-11-07,22.5,12.7,12.5,12.9,15.2,19.4,28.9,10.1,,
2017-12-12,<10,,,,<10,<10,19.6,<10,,"A coleta neste dia foi realizada no P6, CBR parado."
