DATA DA COLETA,LODO_REATOR_UASB,OBSERVAÇÕES
2017-01-04,10.8,
2017-02-01,15.0,
2017-03-01,25.7,
2017-04-05,17.3,
2017-05-03,50.5,
2017-06-07,15.9,
2017-07-07,14.0,
2017-08-02,24.3,
2017-09-06,29.5,
2017-10-04,27.1,
2017-11-01,207.3,
2017-12-06,66.0,
