DATA DA COLETA,LODO_REATOR_UASB,OBSERVAÇÕES
2018-01-24,18.3,
2018-02-09,22.9,
2018-03-07,27.1,
2018-04-04,82.8,
2018-05-02,39.8,
2018-06-06,33.2,
2018-07-04,134.3,
2018-08-01,18.3,
2018-09-05,98.3,
2018-10-03,54.3,
2018-11-07,30.4,
2018-12-05,45.8,
