DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 /P6 - Saída da ETE ,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial Acesso 1 (Trimestral),OBSERVAÇÕES
2016-01-06,6.4,7.4,7.7,7.8,7.8,7.0,6.8,9.5,7.6,
2016-02-05,6.8,7.2,7.7,7.7,7.7,7.0,6.6,7.1,,
2016-03-02,6.9,7.4,7.6,7.7,7.7,7.3,7.2,9.3,,
2016-04-06,6.4,7.2,7.3,7.3,7.3,6.9,6.9,8.7,7.0,
2016-05-04,7.3,,,,7.3,7.3,7.2,7.6,,"Pontos Pb, Pc e Pd não foram coletados pois o CBR está em manutenção. A saída foi coletada no P6."
2016-06-01,7.1,7.4,8.4,8.4,8.4,7.3,7.4,7.3,,
2016-07-06,7.0,7.1,7.5,7.4,7.4,7.3,7.3,7.5,5.4,
2016-08-03,6.9,7.0,6.7,6.7,6.5,7.1,7.3,6.8,,
2016-09-08,7.0,7.1,6.8,7.4,7.4,7.2,7.3,7.3,,
2016-10-05,6.7,7.4,7.6,7.5,7.6,7.2,7.1,8.3,6.1,
2016-11-03,7.0,7.2,7.3,7.3,7.2,7.2,7.5,8.2,,
2016-12-07,6.6,6.9,6.3,6.2,6.1,7.1,7.4,9.9,,
