DATA DA COLETA,UMIDADE % p/p,COMPOSTOS ORGÂNICOS VOLÁTEIS  (µg/kg),ALUMÍNIO (mg/kg),COBRE (mg/kg),CROMO (mg/kg),MANGANÊS (mg/kg),NÍQUEL (mg/kg),OBSERVAÇÕES
2017-01-12,43.7,2,14740.2,211.6,25.6,70.0,18.5,
2017-04-06,12.1,2,12764.0,14.03,25.16,179.9,8.5,
2017-07-13,72.1,2,13862.0,182.0,36.4,64.8,18.7,
2017-10-05,62.3,2,13285.0,46.3,21.0,176.0,8.5,
