DATA DA COLETA,LODO_REATOR_UASB,OBSERVAÇÕES
2016-01-06,52.9,
2016-02-05,,"O lodo não veio em fevereiro pois a bomba helicoidal está fora de serviço, a GSMI já está arrumando."
2016-03-02,,"O lodo não veio em março pois a bomba helicoidal ainda está fora de serviço, a bomba para substituição foi liberada com atraso."
2016-04-06,16.9,
2016-05-04,83.3,
2016-06-01,34.9,
2016-07-12,97.3,
2016-08-03,75.9,
2016-09-08,231.7,
2016-10-05,31.5,
2016-11-03,10.1,
2016-12-07,57.6,
