DATA DA COLETA,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6 - Saída da ETE ,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial Acesso 1 (trimestral),OBSERVAÇÕES
2018-01-30,4.4,5.7,9.4,8.2,8.8,7.9,8.2,2.5,,
2018-02-15,28.9,9.8,13.7,12.8,13.1,0.9,15.8,5.6,6.2,
2018-03-13,39.1,,,,15.6,6.3,106.7,17.4,,
2018-04-10,47.3,,,,29.3,5.8,98.9,21.2,12.0,
2018-05-08,114.5,,,,9.5,4.2,108.3,8.8,,
2018-06-12,69.1,,,,21.3,115.7,41.8,32.2,,
2018-07-10,40.0,32.5,25.4,17.6,23.1,16.5,44.6,13.0,4.3,
2018-08-07,75.4,33.8,18.8,191.5,12.2,5.5,38.5,9.0,,
2018-09-11,78.9,17.5,30.1,9.5,9.8,10.3,80.0,28.9,,
2018-10-09,22.3,10.3,14.3,5.9,8.2,19.5,17.4,14.6,26.1,
2018-11-13,36.0,14.4,19.3,3.2,8.8,7.2,217.0,29.0,,
2018-12-11,35.6,30.9,3.0,6.2,6.2,56.5,116.0,37.0,,
