DATA DA COLETA,UMIDADE % p/p,COMPOSTOS ORGÂNICOS VOLÁTEIS  (µg/kg),ALUMÍNIO (mg/kg),COBRE (mg/kg),CROMO (mg/kg),MANGANÊS (mg/kg),NÍQUEL (mg/kg),OBSERVAÇÕES
2019-01-10,35.85,<2,3875.636,15.252,8.0,243.449,8.5,
2019-04-11,24.05,<2,8114.786,202.918,28.794,58.755,8.56,
2019-07-11,11.07,N.D.,9582.837,37.346,19.865,242.352,8.5,
2019-10-10,10.69,69.45,9743.689,29.515,15.728,225.437,ND,
