Parâmetros,Data,Alumínio Total,Cobre Total,Cromo Total,Manganês Total,Prata Total
ANAMB,2016-02-01 00:00:00,3.286,0.132,"<0,009",0.23,0.01
itt Nutrifor,2016-03-01 00:00:00,5.93,0.174,0.16,2.26,0.65
QUÍMICA,2016-04-01 00:00:00,17.7,0.1,2.91,0.05,0.12
SANEAMB,2016-05-01 00:00:00,2.13,0.167,0.036,0.092,0.05
QUÍMICA.1,2016-08-01 00:00:00,2.05,0.4,0.64,0.01,0.01
itt Fuse,2016-11-01 00:00:00,7.246,15.84,0.446,"<0,010",0.164
SANEAMB.1,2016-11-01 00:00:00,1.15,0.38,"<0,009",1.965,"<0,010"
