DATA DA COLETA,UMIDADE % p/p,COMPOSTOS ORGÂNICOS VOLÁTEIS  (µg/kg),ALUMÍNIO (mg/kg),COBRE (mg/kg),CROMO (mg/kg),MANGANÊS (mg/kg),NÍQUEL (mg/kg),OBSERVAÇÕES
2016-01-07,25.8,2,5128.0,26.2,8.3,147.8,8.5,
2016-04-07,10.6,2,6352.0,22.5,12.3,180.0,8.5,
2016-07-07,23.2,2,9975.6,26.2,14.8,178.3,8.5,
2016-10-06,20.0,2,9246.2,10.8,11.2,161.8,8.5,
