DATA DA COLETA,P1 - Entrada ETE Unisinos,P2 / P6 - Saída da ETE Unisinos,P3 - Arroio São João,OBSERVAÇÕES
2016-01-07,100,50,40,
2016-02-04,100,40,30,Coleta realizada no P6
2016-03-03,70,40,40,
2016-04-07,100,70,30,
2016-05-05,150,70,30,Coleta realizada no P6
2016-06-02,150,70,50,
2016-07-07,150,70,50,
2016-08-04,150,70,70,
2016-09-01,150,50,50,
2016-10-06,150,100,150,
2016-11-03,150,100,50,
2016-12-01,150,50,70,
