DATA DA COLETA,UMIDADE % p/p,COMPOSTOS ORGÂNICOS VOLÁTEIS  (µg/kg),ALUMÍNIO (mg/kg),COBRE (mg/kg),CROMO (mg/kg),MANGANÊS (mg/kg),NÍQUEL (mg/kg),OBSERVAÇÕES
2018-01-11,51.58,263.795,4387.876,24.96,< 8,225.832,"< 8,5",
2018-04-19,23.77,<2,7466.135,11.554,13.347,184.861,"< 8,5",
2018-07-12,24.78,<2,4692.582,17.057,< 8,173.146,"< 8,5",
2018-10-11,31.05,<2,4278.903,27.811,10.131,200.238,"< 8,5",
