Parâmetros,Data,Alumínio Total,Cobre Total,Cromo Total,Manganês Total,Prata Total
ANAMB,2013-02-05 00:00:00,2.04,0.107,3.38,0.179,0.064
SANEAMB,2013-04-03 00:00:00,0.71,0.027,0.077,1.06,0.004
SANEAMB.1,2013-05-08 00:00:00,3.93,0.078,4.03,14.6,0.055
ANAMB.1,2013-07-03 00:00:00,5.59,0.138,0.234,5.7,0.042
ITT FOSSIL,2013-08-05 00:00:00,6.29,0.009,0.026,0.677,0.015
