DATA DA COLETA,UMIDADE % p/p,PORCENTAGEM DE SÓLIDOS % p/p,SÓLIDOS VOLÁTEIS % p/p,ALUMÍNIO (mg/kg),COBRE (mg/kg),CROMO (mg/kg),MANGANÊS (mg/kg),NÍQUEL (mg/kg),LABORATÓRIO BIOAGRI,OBSERVAÇÕES
2015-01-16,46.0,54.0,26.5,2800,122.0,10.5,14,5.5,x,
2015-04-08,18.5,80.5,11.0,3790,18.3,12.0,169,4.58,x,
2015-07-03,45.5,54.0,13.8,3510,15.8,11.9,257,5.0,x,
2015-10-09,27.5,72.5,11.0,2730,19.5,8.51,150,3.27,x,
