DATA DA COLETA,P1 - Entrada ETE,P2/P6- Saída da ETE ,P7 - Rede Pluvial (trimestral),P1 - Média mês,P2/P6 - Média mês,Ponto de coleta Saída (P2 ou P6),OBSERVAÇÕES
2018-01-24,6.7,1.7,,7.25,1.65,,
2018-01-30,7.8,1.6,,,,,
2018-02-09,10.9,10.1,,27.225,19.575000000000003,,
2018-02-15,12.6,12.5,,,,,
2018-02-20,28.3,3.1,,,,,
2018-02-27,57.1,52.6,,,,,
2018-03-07,14.4,87.3,,32.8,67.2,,
2018-03-13,27.0,62.4,,,,,
2018-03-20,37.5,59.9,,,,,
2018-03-27,52.3,59.2,,,,,
2018-04-04,33.0,62.6,13.1,40.875,68.25,,
2018-04-10,29.5,71.1,,,,,
2018-04-17,43.0,63.3,,,,,
2018-04-24,58.0,76.0,,,,,
2018-05-02,46.3,65.3,,56.974999999999994,77.675,,
2018-05-08,44.3,97.1,,,,,
2018-05-15,68.0,70.5,,,,,
2018-05-22,69.3,77.8,,,,,
2018-06-06,23.3,83.8,,65.89999999999999,73.47500000000001,,
2018-06-12,7.1,87.7,,,,,
2018-06-19,56.5,80.8,,,,,
2018-06-26,26.2,41.6,,,,,
2018-07-04,20.5,52.5,21.0,10.2,26.075000000000003,,
2018-07-10,6.2,28.9,,,,,
2018-07-17,3.3,6.9,,,,,
2018-07-24,10.8,16.0,,,,,
2018-08-01,9.7,29.3,,35.980000000000004,49.24,,
2018-08-07,41.0,65.4,,,,,
2018-08-14,45.5,60.4,,,,,
2018-08-21,28.9,17.6,,,,,
2018-08-28,38.5,56.7,,,,,
2018-09-05,26.0,46.1,,25.25,43.325,,
2018-09-11,24.5,47.3,,,,,
2018-09-18,54.6,63.0,,,,,
2018-09-25,26.7,16.9,,,,,
2018-10-03,4.4,13.5,1.8,25.14,18.359999999999996,,
2018-10-09,14.6,25.0,,,,,
2018-10-16,23.4,3.8,,,,,
2018-10-23,44.5,27.4,,,,,
2018-10-30,38.8,22.1,,,,,
2018-11-07,16.4,35.1,,24.325,29.1,,
2018-11-13,21.2,28.8,,,,,
2018-11-20,23.7,19.7,,,,,
2018-11-27,36.0,32.8,,,,,
2018-12-05,16.3,20.7,,21.066666666666666,23.333333333333332,,
2018-12-11,27.3,25.4,,,,,
2018-12-18,19.6,23.9,,,,,
