DATA DA COLETA,P1 - Entrada ETE,P2 / P6 - Saída da ETE,P7 - Rede Pluvial Portão A,OBSERVAÇÕES
2018-01-30,0.51,0.1,,
2018-02-15,1.4,0.12,,
2018-03-13,1.0,1.95,,
2018-04-10,0.73,1.9,8.7,
2018-05-08,0.82,2.47,,
2018-06-12,0.5,2.6,,
2018-07-10,0.43,0.19,0.16,
2018-08-07,1.9,2.2,,
2018-09-11,1.14,0.13,,
2018-10-09,1.15,0.23,4.55,
2018-11-13,1.11,0.11,,
2018-12-11,1.07,1.7,,
