DATA DA COLETA,UMIDADE % p/p,ALUMÍNIO (mg/kg),COBRE (mg/kg),CROMO (mg/kg),MANGANÊS (mg/kg),NÍQUEL (mg/kg),LABORATÓRIO ALAC,OBSERVAÇÕES
2014-02-05,54.8,2606,56.5,17.4,43.4,8.18,x,
2014-05-05,46.8,2245,60.4,11.8,12.5,2.82,x,
2014-08-06,45.0,1599,23.8,6.2,123.0,10.0,x,
2014-11-05,50.8,2249,36.0,7.8,41.3,17.4,x,
