DATAS DAS COLETAS ,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores,P2 / P6 - Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2018-01-24,51.0,24.2,28.5,26.4,16.8,0.6705882352941177,67.0,50.1,52.3,,
2018-02-09,90.5,31.9,30.7,25.5,40.0,0.5580110497237569,18.6,105.0,18.6,96.2,
2018-03-07,62.4,,,,67.4,-0.08012820512820529,20.4,341.1,22.5,,
2018-04-04,288.0,,,,60.8,0.7888888888888889,15.6,328.0,28.8,37.6,
2018-05-02,266.8,,,,83.7,0.6862818590704648,19.3,726.8,29.9,,
2018-06-06,180.8,,,,51.5,0.7151548672566372,19.0,63.3,31.2,,
2018-07-04,258.8,86.3,55.4,48.6,69.9,0.7299072642967542,25.0,372.3,26.8,263.3,
2018-08-01,53.0,,,,25.6,0.5169811320754717,17.2,35.4,17.7,,
2018-09-05,414.7,126.8,73.6,79.2,57.8,0.8606221364842055,24.2,261.0,25.2,,
2018-10-03,39.2,25.3,17.4,11.8,23.5,0.40051020408163274,27.9,34.9,12.2,33.1,
2018-11-07,171.6,63.4,86.2,49.3,86.2,0.49766899766899764,36.5,343.2,45.3,,
2018-12-05,154.7,46.8,20.9,25.9,15.0,0.903038138332256,48.1,259.2,26.3,,
