DATA DA COLETA,P1 - Entrada ETE Unisinos,P2 / P6 - Saída da ETE Unisinos,P3 - Arroio São João,LABORATÓRIO ALAC,OBSERVAÇÕES
2015-01-12,150,20,30,x,
2015-02-09,150,30,30,x,
2015-03-10,35,35,30,x,
2015-04-08,150,50,40,x,
2015-05-12,150,50,40,x,
2015-06-09,100,50,45,x,
2015-07-07,90,45,35,x,
2015-08-06,150,25,15,x,
2015-09-03,120,30,30,x,
2015-10-01,150,50,20,x,
2015-11-05,70,35,50,x,
2015-12-03,90,30,40,x,
