DATA DA COLETA,UMIDADE % p/p,COMPOSTOS ORGÂNICOS VOLÁTEIS  (µg/kg),ALUMÍNIO (mg/kg),COBRE (mg/kg),CROMO (mg/kg),MANGANÊS (mg/kg),NÍQUEL (mg/kg),OBSERVAÇÕES
2018-01-11,55.61,40.8,12458.167,227.092,23.108,212.151,28.685,
2018-04-19,73.55,<2,16513.395,244.902,31.387,116.553,19.792,
2018-07-12,62.12,<2 ,11547.431,193.478,25.099,258.103,26.285,
2018-10-11,37.64,<2,9870.55,349.691,36.321,546.754,41.731,
