Parâmetros,Data,Alumínio Total,Cobre Total,Cromo Total,Manganês Total,Prata Total
LAB. ANÁLISE AMBIENTAL,2019-03-11,3.059,0.134,0.292,11.27,0.01
LAB. HISTOLOGIA,2019-03-11,4.143,0.829,0.3,0.166,0.01
LAB. LCVMAT,2019-03-11,2.295,0.069,0.138,1.392,0.01
LAB. ANÁLISE AMBIENTAL.1,2019-07-01,2.673,0.077,0.099,0.036,
LAB. LCVMAT.1,2019-07-01,1.03,2.591,,0.05,
LAB.           QUIMICA,2019-07-01,7.905,1.285,3.405,3.755,
LAB.           QUIMICA.1,2019-12-01,0.682,0.87,0.26,1.026,
