DATA DA COLETA,P1 - Entrada ETE,P2 / P6 - Saída da ETE,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2018-01-30,1.42,2.17,,
2018-02-15,1.5,1.3,,
2018-03-13,4.9,7.1,,
2018-04-10,4.6,6.6,12.7,
2018-05-08,5.0,6.2,,
2018-06-12,1.0,5.8,,
2018-07-10,0.93,4.2,2.1,
2018-08-07,3.8,5.6,,
2018-09-11,4.2,4.7,,
2018-10-09,3.5,4.4,3.8,
2018-11-13,5.9,5.03,,
2018-12-11,3.7,5.8,,
