DATA DA COLETA,P1,P2/P6,P1/P2,P3,P4,P5,OBSERVAÇÕES
2017-01-12,130000,23000,0.823076923076923,45,240000,130,
2017-02-09,340000,46000,0.8647058823529412,490,240000,170,
2017-03-09,460000,49000,0.8934782608695653,790,280000,210,Coleta foi realizada no P6. CBR em manutenção.
2017-04-06,330000,40000,0.8787878787878788,700,350000,320,Coleta foi realizada no P6. CBR em manutenção.
2017-05-11,390000,47000,0.8794871794871795,1300,540000,700,Coleta foi realizada no P6. CBR em manutenção.
2017-06-08,1300000,22000,0.9830769230769231,9200,7800,1300,Coleta foi realizada no P6. CBR em manutenção.
2017-07-13,790000,28000,0.9645569620253165,5400,14000,1100,
2017-08-10,700000,17000,0.9757142857142858,3500,1700,1300,Coleta foi realizada no P6. CBR em manutenção.
2017-09-14,940000,14000,0.9851063829787234,2800,1400,1100,
2017-10-05,110000,17000,0.8454545454545455,22000,1700,790,
2017-11-09,170000,11000,0.9352941176470588,17000,1300,940,
2017-12-07,940000,14000,0.9851063829787234,2800,1400,1100,Coleta foi realizada no P6. CBR em manutenção.
