DATA DA COLETA,UMIDADE % p/p,COMPOSTOS ORGÂNICOS VOLÁTEIS  (µg/kg),ALUMÍNIO (mg/kg),COBRE (mg/kg),CROMO (mg/kg),MANGANÊS (mg/kg),NÍQUEL (mg/kg),OBSERVAÇÕES
2017-01-12,59.7,2.0,12533.4,182.1,21.8,48.7,13.2,
2017-04-06,62.6,2.0,77.9,170.3,28.6,209.5,27.1,
2017-07-13,84.0,99.04,26438.0,160.0,37.9,77.8,16.4,
2017-10-05,78.2,2.0,16927.0,166.0,33.7,39.1,16.6,
