DATA DA COLETA,P1 - Entrada ETE,P2 / P6 - Saída da ETE,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2019-01-08,1.5,2.9,0.7,
2019-02-12,1.02,1.6,,
2019-03-12,1.96,4.79,,
2019-04-09,4.54,5.1,13.21,
2019-05-07,2.2,3.9,,
2019-06-11,2.96,4.44,,
2019-07-09,3.1,3.5,18.2,
2019-08-13,2.1,3.2,,
2019-09-10,3.8,6.6,,
2019-10-08,2.8,4.4,1.6,
2019-11-12,3.4,2.9,,
2019-12-10,5.7,5.0,,
