DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6- Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2016-01-06,203,15.0,13.5,8.5,10.5,0.9482758620689655,5.6,88,2.1,2.0,
2016-02-05,82,11.8,9.9,9.1,16.0,0.8048780487804879,5.8,20,4.3,,
2016-03-02,270,33.0,12.0,11.0,20.0,0.9259259259259259,9.5,120,4.9,,
2016-04-06,192,17.6,7.1,6.3,7.0,0.9635416666666666,9.8,170,6.3,6.0,
2016-05-04,256,,,,44.0,0.828125,10.6,136,7.4,,
2016-06-01,200,51.0,17.6,15.6,35.5,0.8225,16.4,196,7.7,,
2016-07-06,289,49.0,40.0,23.3,24.5,0.9152249134948097,15.6,106,20.0,2.0,
2016-08-03,148,42.0,52.0,41.0,52.0,0.6486486486486487,6.8,184,19.6,,
2016-09-08,190,36.0,50.0,20.0,26.0,0.8631578947368421,8.0,170,8.0,,
2016-10-05,140,53.0,23.0,13.0,40.0,0.7142857142857143,5.2,110,2.8,1.2,
2016-11-03,188,37.0,27.0,14.0,33.0,0.8031914893617021,27.2,550,7.2,,
2016-12-07,144,41.0,63.0,27.0,10.0,0.7152777777777778,8.0,100,2.8,,
