DATA DA COLETA,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6  - Saída da ETE Unisinos,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2018-01-30,16,13.9,12.3,15.6,17.1,22.3,19.3,14.4,,
2018-02-15,<10,<10,<10,<10,<10,<10,<10,12.8,14.4,
2018-03-13,26,,,,16.5,17.2,75.8,24.1,,
2018-04-10,<10,,,,11.3,<10,14.6,<10,<10,
2018-05-08,27.3,,,,12.2,<10,21.4,<10,,
2018-06-12,21.7,,,,<10,<10,14.8,<10,,
2018-07-10,<10,16.1,10.8,14.5,<10,<10,10.6,<10,10.6,
2018-08-07,16.1,22.4,15.5,16,20.6,<10,14.1,<10,,
2018-09-11,19.9,26.4,21.5,,<10,14.1,19.9,27.4,16.8,
2018-10-09,14.7,12.9,11.9,<10,<10,21.3,11.4,<10,17.7,
2018-11-13,12.6,<10,<10,44.8,<10,15.9,84.3,11.5,,
2018-12-11,<10,17,15.1,<10,<10,<10,27.2,26.7,,
