PARÂMETROS,Data,Alumínio Total,Arsênio Total,Bário Total,Boro Total,Cádmio Total,Chumbo Total,Cianeto Total,Cobalto Total,Cobre Total,Cromo Total,Cromo Hexavalente,DBO,DQO,Estanho Total,Fenóis Total,Ferro Total,Fósforo Total,Fluoreto,Lítio Total,Manganês Total,Mercúrio,Molibdênio Total,Níquel Total,Nitrogênio Amoniacal,Nitrogênio Total Kjeldahl,Coliformes Termotolerantes,Prata Total,Mercúrio Total,Cianeto,Índice de Fenóis,Nitrogênio Total,Fenol
P1,2014-03-11,1.09,0.003,0.085,nan,0.0002,0.0026,nan,0.001,0.027999999999999997,0.002,nan,230.0,672.0,nan,0.483,4.58,9.94,0.396,0.002,0.226,0.0002,0.003,0.005,52.6,78.3,nan,nan,nan,nan,nan,nan,nan
P2/P6,2014-03-11,0.053,nan,0.026,nan,nan,nan,nan,nan,nan,nan,nan,9.44,26.0,nan,0.02,0.418,2.24,0.986,nan,0.123,nan,nan,0.001,18.2,22.9,nan,nan,nan,nan,nan,nan,nan
P1,2014-06-03,0.063,nan,0.024,nan,nan,nan,0.018000000000000002,0.002,0.006999999999999999,nan,nan,79.2,237.0,nan,0.047,1.88,6.0,nan,nan,0.111,nan,0.004,nan,47.3,56.3,601500.0,nan,nan,nan,nan,nan,nan
P2/P6,2014-06-03,0.039,nan,0.019,nan,nan,nan,0.011,nan,0.003,nan,nan,13.3,40.0,nan,nan,0.753,2.54,nan,nan,0.026,nan,nan,nan,22.0,23.2,1986300.0,nan,nan,nan,nan,nan,nan
P1,2014-05-05,1.36,0.031,0.053,0.057999999999999996,nan,nan,nan,0.001,0.013999999999999999,nan,nan,143.0,299.0,nan,0.022,4.74,4.36,0.40399999999999997,0.003,0.3,nan,nan,0.003,18.6,32.1,241960.0,nan,nan,nan,nan,nan,nan
P2/P6,2014-05-05,0.173,0.001,0.085,0.028999999999999998,nan,nan,nan,nan,0.005,nan,nan,39.0,104.0,nan,nan,1.81,8.5,1.1,0.003,0.443,nan,nan,nan,64.9,74.8,141360.0,nan,nan,nan,nan,nan,nan
P1,2014-06-08,0.355,0.002,0.053,0.187,nan,0.002,0.004,nan,0.184,0.013999999999999999,nan,64.5,209.0,nan,0.103,3.54,4.32,0.7879999999999999,0.018000000000000002,0.18600000000000005,nan,0.015,0.017,56.4,60.0,4352000.0,0.003,nan,nan,nan,nan,nan
P2/P6,2014-06-08,0.141,nan,0.031,nan,nan,0.174,nan,0.004,0.174,0.008,nan,18.7,51.2,nan,0.098,0.522,5.15,1.11,0.002,0.156,nan,0.003,0.043,65.6,66.8,7270000.0,nan,nan,nan,nan,nan,nan
P1,2014-03-11,1.09,0.003,0.085,nan,0.0002,0.0026,nan,0.001,0.027999999999999997,0.002,nan,230.0,672.0,nan,0.483,4.58,9.94,0.396,0.002,0.226,0.0002,0.003,0.005,52.6,78.3,nan,nan,nan,nan,nan,nan,nan
P2/P6,2014-03-11,0.053,nan,0.026,nan,nan,nan,nan,nan,nan,nan,nan,9.44,26.0,nan,0.02,0.418,2.24,0.986,nan,0.123,nan,nan,0.001,18.2,22.9,nan,nan,nan,nan,nan,nan,nan
