ENTIDADE,DATA,COR_VERDADEIRA
P1,2016-05-05,150.0
P2,2016-05-05,70.0
P3,2016-05-05,30.0
P1,2016-06-02,150.0
P2,2016-06-02,70.0
P3,2016-06-02,50.0
P1,2016-07-07,150.0
P2,2016-07-07,70.0
P3,2016-07-07,50.0
P1,2016-08-04,150.0
P2,2016-08-04,70.0
P3,2016-08-04,70.0
P1,2016-09-01,150.0
P2,2016-09-01,50.0
P3,2016-09-01,50.0
P1,2016-10-06,150.0
P2,2016-10-06,100.0
P3,2016-10-06,150.0
P1,2016-11-03,150.0
P2,2016-11-03,100.0
P3,2016-11-03,50.0
P1,2016-12-01,150.0
P2,2016-12-01,50.0
P3,2016-12-01,70.0
P1,2017-01-12,150.0
P2,2017-01-12,40.0
P3,2017-01-12,20.0
P1,2017-02-09,40.0
P2,2017-02-09,30.0
P3,2017-02-09,20.0
P1,2017-03-09,150.0
P2,2017-03-09,50.0
P3,2017-03-09,30.0
P1,2017-04-06,50.0
P2,2017-04-06,50.0
P3,2017-04-06,40.0
P1,2017-05-11,50.0
P2,2017-05-11,30.0
P3,2017-05-11,40.0
P1,2017-06-08,50.0
P2,2017-06-08,30.0
P3,2017-06-08,50.0
P1,2017-07-13,50.0
P2,2017-07-13,30.0
P3,2017-07-13,30.0
P1,2017-08-10,40.0
P2,2017-08-10,20.0
P3,2017-08-10,50.0
P1,2017-09-14,30.0
P2,2017-09-14,50.0
P3,2017-09-14,40.0
P1,2017-10-05,40.0
P2,2017-10-05,10.0
P3,2017-10-05,20.0
P1,2017-11-09,70.0
P2,2017-11-09,50.0
P3,2017-11-09,30.0
P1,2017-12-07,90.0
P2,2017-12-07,45.0
P3,2017-12-07,35.0
P1,2017-01-12,150.0
P2,2017-01-12,40.0
P3,2017-01-12,20.0
P1,2017-02-09,40.0
P2,2017-02-09,30.0
P3,2017-02-09,20.0
P1,2017-03-09,150.0
P2,2017-03-09,50.0
P3,2017-03-09,30.0
P1,2017-04-06,50.0
P2,2017-04-06,50.0
P3,2017-04-06,40.0
P1,2017-05-11,50.0
P2,2017-05-11,30.0
P3,2017-05-11,40.0
P1,2017-06-08,50.0
P2,2017-06-08,30.0
P3,2017-06-08,50.0
P1,2017-07-13,50.0
P2,2017-07-13,30.0
P3,2017-07-13,30.0
P1,2017-08-10,40.0
P2,2017-08-10,20.0
P3,2017-08-10,50.0
P1,2017-09-14,30.0
P2,2017-09-14,50.0
P3,2017-09-14,40.0
P1,2017-10-05,40.0
P2,2017-10-05,10.0
P3,2017-10-05,20.0
P1,2017-11-09,70.0
P2,2017-11-09,50.0
P3,2017-11-09,30.0
P1,2017-12-07,90.0
P2,2017-12-07,45.0
P3,2017-12-07,35.0
P1,2018-01-11,50.0
P2,2018-01-11,20.0
P3,2018-01-11,20.0
P1,2018-02-08,20.0
P2,2018-02-08,10.0
P3,2018-02-08,5.0
P1,2018-03-08,20.0
P2,2018-03-08,20.0
P3,2018-03-08,20.0
P1,2018-04-19,30.0
P2,2018-04-19,20.0
P3,2018-04-19,30.0
P1,2018-05-10,150.0
P2,2018-05-10,10.0
P3,2018-05-10,10.0
P1,2018-06-14,30.0
P2,2018-06-14,40.0
P3,2018-06-14,50.0
P1,2018-07-12,20.0
P2,2018-07-12,30.0
P3,2018-07-12,20.0
P1,2018-08-09,10.0
P2,2018-08-09,5.0
P3,2018-08-09,20.0
P1,2018-09-13,5.0
P2,2018-09-13,5.0
P3,2018-09-13,5.0
P1,2018-10-11,20.0
P2,2018-10-11,30.0
P3,2018-10-11,20.0
P1,2018-11-08,20.0
P2,2018-11-08,30.0
P3,2018-11-08,20.0
P1,2018-12-13,30.0
P2,2018-12-13,30.0
P3,2018-12-13,30.0
P1,2018-01-11,50.0
P2,2018-01-11,20.0
P3,2018-01-11,20.0
P1,2018-02-08,20.0
P2,2018-02-08,10.0
P3,2018-02-08,5.0
P1,2018-03-08,20.0
P2,2018-03-08,20.0
P3,2018-03-08,20.0
P1,2018-04-19,30.0
P2,2018-04-19,20.0
P3,2018-04-19,30.0
P1,2018-05-10,150.0
P2,2018-05-10,10.0
P3,2018-05-10,10.0
P1,2018-06-14,30.0
P2,2018-06-14,40.0
P3,2018-06-14,50.0
P1,2018-07-12,20.0
P2,2018-07-12,30.0
P3,2018-07-12,20.0
P1,2018-08-09,10.0
P2,2018-08-09,5.0
P3,2018-08-09,20.0
P1,2018-09-13,5.0
P2,2018-09-13,5.0
P3,2018-09-13,5.0
P1,2018-10-11,20.0
P2,2018-10-11,30.0
P3,2018-10-11,20.0
P1,2018-11-08,20.0
P2,2018-11-08,30.0
P3,2018-11-08,20.0
P1,2018-12-13,30.0
P2,2018-12-13,30.0
P3,2018-12-13,30.0
P1,2019-01-10,20.0
P2,2019-01-10,30.0
P3,2019-01-10,10.0
P1,2019-02-14,50.0
P2,2019-02-14,20.0
P3,2019-02-14,
P1,2019-03-07,30.0
P2,2019-03-07,10.0
P3,2019-03-07,10.0
P1,2019-04-11,70.0
P2,2019-04-11,50.0
P3,2019-04-11,50.0
P1,2019-05-09,50.0
P2,2019-05-09,25.0
P3,2019-05-09,35.0
P1,2019-06-13,45.0
P2,2019-06-13,25.0
P3,2019-06-13,19.0
P1,2019-07-11,40.0
P2,2019-07-11,30.0
P3,2019-07-11,19.0
P1,2019-08-08,50.0
P2,2019-08-08,45.0
P3,2019-08-08,20.0
P1,2019-09-12,30.0
P2,2019-09-12,19.0
P3,2019-09-12,30.0
P1,2019-10-10,30.0
P2,2019-10-10,20.0
P3,2019-10-10,20.0
P1,2019-11-07,30.0
P2,2019-11-07,19.0
P3,2019-11-07,20.0
P1,2019-12-12,20.0
P2,2019-12-12,19.0
P3,2019-12-12,31.1
