ENTIDADE,DATA,pH
Pb,2014-11-05,7.2
Pc,2014-11-05,7.4
Pd,2014-11-05,7.5
P2,2014-11-05,7.5
P3,2014-11-05,6.9
P4,2014-11-05,6.7
P5,2014-11-05,7.4
P7,2014-11-05,
P1,2014-12-04,7.3
Pb,2014-12-04,7.2
Pc,2014-12-04,7.3
Pd,2014-12-04,7.3
P2,2014-12-04,7.5
P3,2014-12-04,6.8
P4,2014-12-04,7.1
P5,2014-12-04,7.5
P7,2014-12-04,
P1,2015-01-07,6.7
Pb,2015-01-07,7.1
Pc,2015-01-07,7.2
Pd,2015-01-07,7.3
P2,2015-01-07,7.4
P3,2015-01-07,6.5
P4,2015-01-07,6.7
P5,2015-01-07,8.9
P7,2015-01-07,7.9
P1,2015-02-04,7.1
Pb,2015-02-04,7.4
Pc,2015-02-04,7.4
Pd,2015-02-04,7.5
P2,2015-02-04,7.5
P3,2015-02-04,7.1
P4,2015-02-04,7.0
P5,2015-02-04,9.0
P7,2015-02-04,­
P1,2015-03-06,6.9
Pb,2015-03-06,
Pc,2015-03-06,
Pd,2015-03-06,
P2,2015-03-06,7.0
P3,2015-03-06,6.7
P4,2015-03-06,6.9
P5,2015-03-06,7.4
P7,2015-03-06,
P1,2015-04-01,6.7
Pb,2015-04-01,
Pc,2015-04-01,
Pd,2015-04-01,
P2,2015-04-01,7.1
P3,2015-04-01,7.3
P4,2015-04-01,7.1
P5,2015-04-01,7.5
P7,2015-04-01,7.1
P1,2015-05-06,7.1
Pb,2015-05-06,7.4
Pc,2015-05-06,7.3
Pd,2015-05-06,7.5
P2,2015-05-06,7.6
P3,2015-05-06,7.2
P4,2015-05-06,7.3
P5,2015-05-06,7.8
P7,2015-05-06,
P1,2015-06-03,6.9
Pb,2015-06-03,
Pc,2015-06-03,
Pd,2015-06-03,
P2,2015-06-03,7.1
P3,2015-06-03,7.2
P4,2015-06-03,7.1
P5,2015-06-03,7.6
P7,2015-06-03,
P1,2015-07-01,7.0
Pb,2015-07-01,
Pc,2015-07-01,
Pd,2015-07-01,
P2,2015-07-01,6.9
P3,2015-07-01,7.2
P4,2015-07-01,7.2
P5,2015-07-01,7.6
P7,2015-07-01,7.5
P1,2015-08-05,7.0
Pb,2015-08-05,7.4
Pc,2015-08-05,8.1
Pd,2015-08-05,7.9
P2,2015-08-05,7.8
P3,2015-08-05,7.1
P4,2015-08-05,6.8
P5,2015-08-05,7.1
P7,2015-08-05,
P1,2015-09-03,6.7
Pb,2015-09-03,7.3
Pc,2015-09-03,7.6
Pd,2015-09-03,7.6
P2,2015-09-03,7.7
P3,2015-09-03,7.1
P4,2015-09-03,7.1
P5,2015-09-03,7.2
P7,2015-09-03,
P1,2015-10-08,6.7
Pb,2015-10-08,
Pc,2015-10-08,
Pd,2015-10-08,
P2,2015-10-08,6.9
P3,2015-10-08,7.0
P4,2015-10-08,7.0
P5,2015-10-08,7.1
P7,2015-10-08,7.6
P1,2015-11-04,6.6
Pb,2015-11-04,7.4
Pc,2015-11-04,7.8
Pd,2015-11-04,7.8
P2,2015-11-04,7.8
P3,2015-11-04,6.9
P4,2015-11-04,7.1
P5,2015-11-04,6.8
P7,2015-11-04,
P1,2015-12-02,7.0
Pb,2015-12-02,7.2
Pc,2015-12-02,6.0
Pd,2015-12-02,7.4
P2,2015-12-02,7.3
P3,2015-12-02,7.0
P4,2015-12-02,7.0
P5,2015-12-02,6.7
P7,2015-12-02,
P1,2015-01-07,6.7
Pb,2015-01-07,7.1
Pc,2015-01-07,7.2
Pd,2015-01-07,7.3
P2,2015-01-07,7.4
P3,2015-01-07,6.5
P4,2015-01-07,6.7
P5,2015-01-07,8.9
P7,2015-01-07,7.9
P1,2015-02-04,7.1
Pb,2015-02-04,7.4
Pc,2015-02-04,7.4
Pd,2015-02-04,7.5
P2,2015-02-04,7.5
P3,2015-02-04,7.1
P4,2015-02-04,7.0
P5,2015-02-04,9.0
P7,2015-02-04,­
P1,2015-03-06,6.9
Pb,2015-03-06,
Pc,2015-03-06,
Pd,2015-03-06,
P2,2015-03-06,7.0
P3,2015-03-06,6.7
P4,2015-03-06,6.9
P5,2015-03-06,7.4
P7,2015-03-06,
P1,2015-04-01,6.7
Pb,2015-04-01,
Pc,2015-04-01,
Pd,2015-04-01,
P2,2015-04-01,7.1
P3,2015-04-01,7.3
P4,2015-04-01,7.1
P5,2015-04-01,7.5
P7,2015-04-01,7.1
P1,2015-05-06,7.1
Pb,2015-05-06,7.4
Pc,2015-05-06,7.3
Pd,2015-05-06,7.5
P2,2015-05-06,7.6
P3,2015-05-06,7.2
P4,2015-05-06,7.3
P5,2015-05-06,7.8
P7,2015-05-06,
P1,2015-06-03,6.9
Pb,2015-06-03,
Pc,2015-06-03,
Pd,2015-06-03,
P2,2015-06-03,7.1
P3,2015-06-03,7.2
P4,2015-06-03,7.1
P5,2015-06-03,7.6
P7,2015-06-03,
P1,2015-07-01,7.0
Pb,2015-07-01,
Pc,2015-07-01,
Pd,2015-07-01,
P2,2015-07-01,6.9
P3,2015-07-01,7.2
P4,2015-07-01,7.2
P5,2015-07-01,7.6
P7,2015-07-01,7.5
P1,2015-08-05,7.0
Pb,2015-08-05,7.4
Pc,2015-08-05,8.1
Pd,2015-08-05,7.9
P2,2015-08-05,7.8
P3,2015-08-05,7.1
P4,2015-08-05,6.8
P5,2015-08-05,7.1
P7,2015-08-05,
P1,2015-09-03,6.7
Pb,2015-09-03,7.3
Pc,2015-09-03,7.6
Pd,2015-09-03,7.6
P2,2015-09-03,7.7
P3,2015-09-03,7.1
P4,2015-09-03,7.1
P5,2015-09-03,7.2
P7,2015-09-03,
P1,2015-10-08,6.7
Pb,2015-10-08,
Pc,2015-10-08,
Pd,2015-10-08,
P2,2015-10-08,6.9
P3,2015-10-08,7.0
P4,2015-10-08,7.0
P5,2015-10-08,7.1
P7,2015-10-08,7.6
P1,2015-11-04,6.6
Pb,2015-11-04,7.4
Pc,2015-11-04,7.8
Pd,2015-11-04,7.8
P2,2015-11-04,7.8
P3,2015-11-04,6.9
P4,2015-11-04,7.1
P5,2015-11-04,6.8
P7,2015-11-04,
P1,2015-12-02,7.0
Pb,2015-12-02,7.2
Pc,2015-12-02,6.0
Pd,2015-12-02,7.4
P2,2015-12-02,7.3
P3,2015-12-02,7.0
P4,2015-12-02,7.0
P5,2015-12-02,6.7
P7,2015-12-02,
P1,2016-01-06,6.4
Pb,2016-01-06,7.4
Pc,2016-01-06,7.7
Pd,2016-01-06,7.8
P2,2016-01-06,7.8
P3,2016-01-06,7.0
P4,2016-01-06,6.8
P5,2016-01-06,9.5
P7,2016-01-06,7.6
P1,2016-02-05,6.8
Pb,2016-02-05,7.2
Pc,2016-02-05,7.7
Pd,2016-02-05,7.7
P2,2016-02-05,7.7
P3,2016-02-05,7.0
