ENTIDADE,DATA,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FENÓIS,FERRO,FÓSFORO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,MERCÚRIO,CIANETO,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL
P2,2015-10-01,70.0,10.0,40.0,30.0,1.0,10.0,,10.0,5.0,10.0,0.01,27.6,70.0,10.0,,530.0,5.25,0.4,10.0,180.0,,10.0,10.0,66.2,75.6,,10.0,0.075,0.05,0.02,75.6,
P1,2016-01-01,1.18,0.01,0.05,0.05,0.004,0.006,,0.01,0.035,0.009000000000000001,0.0005,50.0,140.0,0.05,,2.84,1.31,0.523,0.09,0.11800000000000001,,0.01,0.01,10.0,15.0,,,0.0001,0.005,,,0.003
P2,2016-01-01,0.16,0.01,0.046,0.05,0.004,0.055,,0.01,0.028999999999999998,0.009000000000000001,0.0005,12.2,30.0,0.05,,0.9640000000000001,3.76,0.925,0.09,0.055999999999999994,,0.01,0.01,20.0,20.0,,,0.0001,0.005,,,0.003
P1,2016-04-01,0.44299999999999995,0.01,0.034,0.05,0.004,0.006,,0.01,0.03,0.009000000000000001,0.0005,150.0,404.0,0.05,,2.86,7.15,0.386,0.09,0.141,,0.01,0.01,45.0,65.0,,,0.0001,0.005,,,0.01
P2,2016-04-01,0.22699999999999998,0.01,0.016,0.05,0.004,0.006,,0.01,0.019,0.009000000000000001,0.0005,24.0,61.0,0.05,,1.07,7.11,0.6559999999999999,0.09,0.11,,0.01,0.01,40.0,40.0,,,0.0001,0.005,,,0.01
P1,2016-07-01,0.377,0.01,0.031,0.05,0.004,0.006,,0.01,0.05,0.009000000000000001,0.0005,142.0,385.0,0.05,,3.55,3.7,0.05,0.09,0.196,,0.01,0.01,30.0,45.0,,,0.0001,0.005,,,0.003
P2,2016-07-01,0.8370000000000001,0.01,0.028999999999999998,0.05,0.004,0.006,,0.01,0.005,0.009000000000000001,0.005,40.0,109.0,0.05,,1.89,3.78,0.6779999999999999,0.09,0.175,,0.01,0.01,30.0,35.0,,,0.0001,0.005,,,0.003
P1,2016-10-01,1.1,0.01,0.054000000000000006,0.297,0.004,0.006,,0.01,0.005,0.009000000000000001,0.0005,124.0,337.0,0.05,,3.84,7.44,0.05,0.09,0.203,,0.01,0.01,53.9,55.3,,,1.0,0.005,,,0.1
P2,2016-10-01,0.519,0.01,0.036000000000000004,0.05,0.004,0.006,,0.01,0.005,0.009000000000000001,0.0005,34.5,93.7,0.05,,1.68,5.05,0.6609999999999999,0.09,0.192,,0.01,0.01,24.6,38.1,,,1.0,0.005,,,0.1
P1,2016-01-01,1.18,0.01,0.05,0.05,0.004,0.006,,0.01,0.035,0.009000000000000001,0.0005,50.0,140.0,0.05,,2.84,1.31,0.523,0.09,0.11800000000000001,,0.01,0.01,10.0,15.0,,,0.0001,0.005,,,0.003
P2,2016-01-01,0.16,0.01,0.046,0.05,0.004,0.055,,0.01,0.028999999999999998,0.009000000000000001,0.0005,12.2,30.0,0.05,,0.9640000000000001,3.76,0.925,0.09,0.055999999999999994,,0.01,0.01,20.0,20.0,,,0.0001,0.005,,,0.003
P1,2016-04-01,0.44299999999999995,0.01,0.034,0.05,0.004,0.006,,0.01,0.03,0.009000000000000001,0.0005,150.0,404.0,0.05,,2.86,7.15,0.386,0.09,0.141,,0.01,0.01,45.0,65.0,,,0.0001,0.005,,,0.01
P2,2016-04-01,0.22699999999999998,0.01,0.016,0.05,0.004,0.006,,0.01,0.019,0.009000000000000001,0.0005,24.0,61.0,0.05,,1.07,7.11,0.6559999999999999,0.09,0.11,,0.01,0.01,40.0,40.0,,,0.0001,0.005,,,0.01
P1,2016-07-01,0.377,0.01,0.031,0.05,0.004,0.006,,0.01,0.05,0.009000000000000001,0.0005,142.0,385.0,0.05,,3.55,3.7,0.05,0.09,0.196,,0.01,0.01,30.0,45.0,,,0.0001,0.005,,,0.003
P2,2016-07-01,0.8370000000000001,0.01,0.028999999999999998,0.05,0.004,0.006,,0.01,0.005,0.009000000000000001,0.005,40.0,109.0,0.05,,1.89,3.78,0.6779999999999999,0.09,0.175,,0.01,0.01,30.0,35.0,,,0.0001,0.005,,,0.003
P1,2016-10-01,1.1,0.01,0.054000000000000006,0.297,0.004,0.006,,0.01,0.005,0.009000000000000001,0.0005,124.0,337.0,0.05,,3.84,7.44,0.05,0.09,0.203,,0.01,0.01,53.9,55.3,,,1.0,0.005,,,0.1
P2,2016-10-01,0.519,0.01,0.036000000000000004,0.05,0.004,0.006,,0.01,0.005,0.009000000000000001,0.0005,34.5,93.7,0.05,,1.68,5.05,0.6609999999999999,0.09,0.192,,0.01,0.01,24.6,38.1,,,1.0,0.005,,,0.1
P1,2017-01-01,0.46799999999999997,0.01,0.052000000000000005,0.05,0.004,0.006,,0.01,0.05,0.009000000000000001,0.0005,136.0,,0.05,,3.84,4.1,0.6729999999999999,0.09,0.209,,0.01,0.01,21.2,36.3,,,1.0,0.005,,,0.04
P2,2017-01-01,0.271,0.01,0.042,0.05,0.004,0.006,,0.01,0.045,0.009000000000000001,0.0005,42.8,,0.05,,1.23,2.25,0.8240000000000001,0.09,0.09,,0.01,0.01,11.9,14.8,,,1.0,0.005,,,0.04
P1,2017-04-01,1.475,0.01,0.142,0.10300000000000001,0.004,0.006,,0.01,0.046,0.013000000000000001,0.0005,140.0,,0.05,,2.474,6.33,1.4880000000000002,0.09,0.18100000000000002,,0.01,0.01,59.2,86.8,,,1.0,0.005,,,0.08
P2,2017-04-01,0.7879999999999999,0.01,0.078,0.05,0.004,0.006,,0.01,0.021,0.009000000000000001,0.0005,17.5,,0.05,,0.45899999999999996,6.252999999999999,1.476,0.09,0.24100000000000002,,0.01,0.01,51.6,57.3,,,1.0,0.005,,,0.04
P1,2017-07-01,0.552,0.01,0.11,0.07,0.004,0.006,,0.01,0.013000000000000001,0.009000000000000001,0.0005,30.0,,0.05,,4.815,1.92,0.275,0.09,0.243,,0.01,0.01,14.2,20.0,,,1.0,0.005,,,0.04
P2,2017-07-01,0.324,0.01,0.115,0.15,0.004,0.006,,0.01,0.005,0.009000000000000001,0.0005,8.0,,0.05,,1.216,3.248,0.725,0.09,0.185,,0.01,0.01,20.4,25.4,,,1.0,0.005,,,0.04
P1,2017-10-01,1.94,0.01,0.047,0.05,0.004,0.006,,0.01,0.10400000000000001,0.009000000000000001,0.0005,40.0,,0.05,,2.76,1.18,0.05,0.09,0.127,,0.01,0.01,6.84,13.39,,,1.0,0.005,,,0.04
P2,2017-10-01,0.24,0.01,0.054000000000000006,0.05,0.004,0.006,,0.01,0.106,0.009000000000000001,0.0005,15.0,,0.05,,1.2,4.19,0.355,0.09,0.4,,0.01,0.01,14.66,17.69,,,1.0,0.005,,,0.04
P1,2017-01-01,0.46799999999999997,0.01,0.052000000000000005,0.05,0.004,0.006,,0.01,0.05,0.009000000000000001,0.0005,136.0,,0.05,,3.84,4.1,0.6729999999999999,0.09,0.209,,0.01,0.01,21.2,36.3,,,1.0,0.005,,,0.04
P2,2017-01-01,0.271,0.01,0.042,0.05,0.004,0.006,,0.01,0.045,0.009000000000000001,0.0005,42.8,,0.05,,1.23,2.25,0.8240000000000001,0.09,0.09,,0.01,0.01,11.9,14.8,,,1.0,0.005,,,0.04
P1,2017-04-01,1.475,0.01,0.142,0.10300000000000001,0.004,0.006,,0.01,0.046,0.013000000000000001,0.0005,140.0,,0.05,,2.474,6.33,1.4880000000000002,0.09,0.18100000000000002,,0.01,0.01,59.2,86.8,,,1.0,0.005,,,0.08
P2,2017-04-01,0.7879999999999999,0.01,0.078,0.05,0.004,0.006,,0.01,0.021,0.009000000000000001,0.0005,17.5,,0.05,,0.45899999999999996,6.252999999999999,1.476,0.09,0.24100000000000002,,0.01,0.01,51.6,57.3,,,1.0,0.005,,,0.04
P1,2017-07-01,0.552,0.01,0.11,0.07,0.004,0.006,,0.01,0.013000000000000001,0.009000000000000001,0.0005,30.0,,0.05,,4.815,1.92,0.275,0.09,0.243,,0.01,0.01,14.2,20.0,,,1.0,0.005,,,0.04
P2,2017-07-01,0.324,0.01,0.115,0.15,0.004,0.006,,0.01,0.005,0.009000000000000001,0.0005,8.0,,0.05,,1.216,3.248,0.725,0.09,0.185,,0.01,0.01,20.4,25.4,,,1.0,0.005,,,0.04
P1,2017-10-01,1.94,0.01,0.047,0.05,0.004,0.006,,0.01,0.10400000000000001,0.009000000000000001,0.0005,40.0,,0.05,,2.76,1.18,0.05,0.09,0.127,,0.01,0.01,6.84,13.39,,,1.0,0.005,,,0.04
P2,2017-10-01,0.24,0.01,0.054000000000000006,0.05,0.004,0.006,,0.01,0.106,0.009000000000000001,0.0005,15.0,,0.05,,1.2,4.19,0.355,0.09,0.4,,0.01,0.01,14.66,17.69,,,1.0,0.005,,,0.04
P1,2018-01-01,0.41100000000000003,0.01,0.045,0.05,0.004,0.006,,0.01,0.026000000000000002,0.009000000000000001,0.02,47.5,,0.05,,4.09,2.06,0.1,0.09,0.2,,0.01,0.01,17.992,29.813000000000002,,0.01,0.1,0.05,,,0.04
P2,2018-01-01,0.13,0.01,0.03,0.05,0.004,0.006,,0.01,0.009000000000000001,0.009000000000000001,0.02,11.0,,0.05,,0.75,3.07,0.508,0.09,0.04,,0.1,0.1,31.745,34.999,,0.1,0.1,0.05,,,0.04
P1,2018-04-01,1.54,0.01,0.27,2.65,0.004,0.67,,0.01,4.22,0.009000000000000001,0.324,150.0,,0.05,,6.19,5.872999999999998,0.1,0.09,0.27,,0.01,0.01,,,,0.01,0.1,0.05,,,0.04
P2,2018-04-01,0.21,0.01,0.11599999999999999,0.17800000000000002,0.004,0.006,,0.01,0.01,0.009000000000000001,0.02,34.0,,0.05,,1.236,6.631,0.7609999999999999,0.09,0.187,,0.1,0.1,,,,0.1,0.1,0.05,,,0.04
P1,2018-07-01,0.465,0.01,0.19699999999999998,0.212,0.004,0.006,,0.01,0.025,0.009000000000000001,0.02,76.0,,0.05,,4.7860000000000005,5.4110000000000005,0.629,0.09,0.265,,0.01,0.01,,,,0.01,0.1,0.02,,,2.3
P2,2018-07-01,0.305,0.01,0.20199999999999999,0.07,0.004,0.006,,0.01,0.021,0.009000000000000001,0.02,13.0,,0.05,,1.286,4.465,0.626,0.09,0.159,,0.1,0.1,,,,0.1,0.1,0.02,,,0.04
P1,2018-10-01,0.565,0.01,0.065,0.05,0.004,0.006,,0.01,0.01,0.02,0.025,114.0,,0.05,,5.515,4.505,0.517,0.09,0.23,,0.01,0.01,,,,0.01,0.1,0.02,,,0.19
P2,2018-10-01,0.36200000000000004,0.01,0.033,0.05,0.004,0.006,,0.01,0.01,0.009000000000000001,0.02,15.0,,0.05,,1.297,5.134,0.142,0.09,0.075,,0.1,0.1,,,,0.1,0.1,0.02,,,0.04
P1,2018-01-01,0.41100000000000003,0.01,0.045,0.05,0.004,0.006,,0.01,0.026000000000000002,0.009000000000000001,0.02,47.5,,0.05,,4.09,2.06,0.1,0.09,0.2,,0.01,0.01,17.992,29.813000000000002,,0.01,0.1,0.05,,,0.04
P2,2018-01-01,0.13,0.01,0.03,0.05,0.004,0.006,,0.01,0.009000000000000001,0.009000000000000001,0.02,11.0,,0.05,,0.75,3.07,0.508,0.09,0.04,,0.1,0.1,31.745,34.999,,0.1,0.1,0.05,,,0.04
P1,2018-04-01,1.54,0.01,0.27,2.65,0.004,0.67,,0.01,4.22,0.009000000000000001,0.324,150.0,,0.05,,6.19,5.872999999999998,0.1,0.09,0.27,,0.01,0.01,,,,0.01,0.1,0.05,,,0.04
P2,2018-04-01,0.21,0.01,0.11599999999999999,0.17800000000000002,0.004,0.006,,0.01,0.01,0.009000000000000001,0.02,34.0,,0.05,,1.236,6.631,0.7609999999999999,0.09,0.187,,0.1,0.1,,,,0.1,0.1,0.05,,,0.04
P1,2018-07-01,0.465,0.01,0.19699999999999998,0.212,0.004,0.006,,0.01,0.025,0.009000000000000001,0.02,76.0,,0.05,,4.7860000000000005,5.4110000000000005,0.629,0.09,0.265,,0.01,0.01,,,,0.01,0.1,0.02,,,2.3
P2,2018-07-01,0.305,0.01,0.20199999999999999,0.07,0.004,0.006,,0.01,0.021,0.009000000000000001,0.02,13.0,,0.05,,1.286,4.465,0.626,0.09,0.159,,0.1,0.1,,,,0.1,0.1,0.02,,,0.04
P1,2018-10-01,0.565,0.01,0.065,0.05,0.004,0.006,,0.01,0.01,0.02,0.025,114.0,,0.05,,5.515,4.505,0.517,0.09,0.23,,0.01,0.01,,,,0.01,0.1,0.02,,,0.19
P2,2018-10-01,0.36200000000000004,0.01,0.033,0.05,0.004,0.006,,0.01,0.01,0.009000000000000001,0.02,15.0,,0.05,,1.297,5.134,0.142,0.09,0.075,,0.1,0.1,,,,0.1,0.1,0.02,,,0.04
P1,2019-01-10,0.203,0.01,0.047,0.05,0.004,0.006,,0.01,0.01,0.009000000000000001,0.02,37.0,,0.05,,5.9670000000000005,3.522,0.1,0.09,0.324,,0.01,0.01,32.622,41.255,,0.01,0.1,0.02,,,0.04
P2,2019-01-10,0.05,0.01,0.054000000000000006,0.05,0.004,0.006,,0.006,0.01,0.009000000000000001,0.02,8.7,,0.05,,1.9869999999999999,3.408,0.1,0.09,0.342,,0.01,0.01,39.269,42.015,,0.01,0.1,0.02,,,0.04
P1,2019-04-11,0.325,0.01,0.023,0.114,0.004,0.013,,0.01,0.01,0.009000000000000001,0.02,128.0,,0.05,,2.3080000000000003,6.415,0.1,0.09,0.135,,0.01,0.01,63.54,85.929,,0.01,0.1,0.02,,,0.2
P2,2019-04-11,0.43799999999999994,0.01,0.024,0.058,0.004,0.006,,0.01,0.01,0.009000000000000001,0.02,29.0,,0.05,,1.5119999999999998,6.212999999999999,0.8490000000000001,0.09,0.16399999999999998,,0.01,0.01,64.319,82.73700000000002,,0.01,0.1,0.02,,,0.11
P1,2019-07-11,0.505,,0.055999999999999994,0.472,,,,,0.02,,,133.0,,,,4.949,5.977,0.02,,0.249,,,,41.773,63.651,,,,,,,0.02
P2,2019-07-11,0.165,,0.033,0.317,,,,,,,,16.0,,,,1.2109999999999999,3.826,,,0.225,,,,41.95,46.48,,,,,,,
P1,2019-10-10,0.625,,0.045,,,,,,0.027000000000000003,,,115.0,,,,4.1160000000000005,4.529,1.266,,0.207,,,,31.941,55.663999999999994,,,,,,,
P2,2019-10-10,0.376,,0.027000000000000003,,,,,,0.017,,,17.0,,,,1.305,3.768,0.963,,0.165,,,,47.845,51.63399999999999,,,,,,,
P7,2015-01-01,4.98,10.0,104.0,37.2,1.0,10.0,,10.0,50.0,10.0,0.01,,,10.0,,223.0,,1.47,10.0,67.6,,10.0,10.0,,,,10.0,0.075,50.0,0.02,,
P7,2015-04-01,0.87,10.0,55.0,92.0,1.0,10.0,,10.0,45.0,10.0,0.01,,,10.0,,896.0,,3.71,10.0,83.9,,10.0,10.0,,,,10.0,0.075,50.0,0.02,,
P7,2015-07-01,5.76,10.0,61.0,77.3,1.0,10.0,,10.0,39.5,10.0,0.01,,,10.0,,2430.0,,8.69,10.0,76.5,,10.0,10.0,,,,10.0,0.08,50.0,0.02,,
P7,2015-10-01,0.405,0.01,0.0194,0.0142,0.001,0.01,,0.01,0.005,0.01,0.01,,,0.01,,0.41700000000000004,,0.15,0.01,0.0173,,0.01,0.01,,,,0.01,8e-05,0.05,0.02,,
P7,2016-01-01,0.624,0.01,0.036000000000000004,0.05,0.004,0.006,,0.01,0.04,0.009000000000000001,0.0005,,,0.05,,0.856,,0.92,0.09,0.03,,0.01,0.016,,,,0.01,0.0001,0.005,,,0.003
P7,2016-04-01,1.51,0.01,0.01,0.05,0.004,0.006,,0.01,0.077,0.009000000000000001,0.0005,,,0.05,,0.5710000000000001,,0.738,0.09,0.019,,0.01,0.01,,,,0.01,0.0001,0.005,,,0.01
P7,2016-07-01,0.21100000000000002,0.01,0.032,0.05,0.004,0.006,,0.01,0.005,0.009000000000000001,0.0005,,,0.05,,1.22,,0.39399999999999996,0.09,0.134,,0.01,0.01,,,,0.01,0.0001,0.005,,,0.003
P7,2016-10-01,1.33,0.01,0.019,0.05,0.004,0.006,,0.01,0.005,0.009000000000000001,0.0005,,,0.05,,1.45,,0.05,0.09,0.021,,0.01,0.01,,,,0.01,0.1,0.005,,,0.1
P7,2016-01-01,0.624,0.01,0.036000000000000004,0.05,0.004,0.006,,0.01,0.04,0.009000000000000001,0.0005,,,0.05,,0.856,,0.92,0.09,0.03,,0.01,0.016,,,,0.01,0.0001,0.005,,,0.003
P7,2016-04-01,1.51,0.01,0.01,0.05,0.004,0.006,,0.01,0.077,0.009000000000000001,0.0005,,,0.05,,0.5710000000000001,,0.738,0.09,0.019,,0.01,0.01,,,,0.01,0.0001,0.005,,,0.01
P7,2016-07-01,0.21100000000000002,0.01,0.032,0.05,0.004,0.006,,0.01,0.005,0.009000000000000001,0.0005,,,0.05,,1.22,,0.39399999999999996,0.09,0.134,,0.01,0.01,,,,0.01,0.0001,0.005,,,0.003
