ENTIDADE,DATA,SÓLIDOS
P7,2014-02-11,
P1,2014-03-11,121.5
Pb,2014-03-11,26.5
Pc,2014-03-11,12.9
Pd,2014-03-11,6.5
P2,2014-03-11,9.3
P3,2014-03-11,9.8
P4,2014-03-11,38.0
P5,2014-03-11,4.8
P7,2014-03-11,
P1,2014-04-08,210.3
Pb,2014-04-08,13.4
Pc,2014-04-08,5.7
Pd,2014-04-08,2.6
P2,2014-04-08,4.0
P3,2014-04-08,6.7
P4,2014-04-08,89.0
P5,2014-04-08,2.7
P7,2014-04-08,
P1,2014-05-13,202.5
Pb,2014-05-13,18.9
Pc,2014-05-13,8.1
Pd,2014-05-13,4.9
P2,2014-05-13,3.5
P3,2014-05-13,9.4
P4,2014-05-13,110.8
P5,2014-05-13,3.2
P7,2014-05-13,
P1,2014-06-10,166.3
Pb,2014-06-10,12.9
Pc,2014-06-10,8.0
Pd,2014-06-10,6.0
P2,2014-06-10,5.7
P3,2014-06-10,14.6
P4,2014-06-10,49.7
P5,2014-06-10,6.2
P7,2014-06-10,
P1,2014-07-08,
Pb,2014-07-08,
Pc,2014-07-08,
Pd,2014-07-08,
P2,2014-07-08,
P3,2014-07-08,
P4,2014-07-08,
P5,2014-07-08,
P7,2014-07-08,
P1,2014-08-12,74.5
Pb,2014-08-12,12.0
Pc,2014-08-12,20.6
Pd,2014-08-12,11.9
P2,2014-08-12,12.5
P3,2014-08-12,5.9
P4,2014-08-12,19.8
P5,2014-08-12,6.8
P7,2014-08-12,
P1,2014-09-09,123.3
Pb,2014-09-09,11.7
Pc,2014-09-09,6.1
Pd,2014-09-09,2.9
P2,2014-09-09,4.2
P3,2014-09-09,6.9
P4,2014-09-09,27.0
P5,2014-09-09,4.9
P7,2014-09-09,
P1,2014-10-07,131.5
Pb,2014-10-07,12.5
Pc,2014-10-07,8.0
Pd,2014-10-07,3.9
P2,2014-10-07,4.8
P3,2014-10-07,9.4
P4,2014-10-07,17.7
P5,2014-10-07,11.1
P7,2014-10-07,
P1,2014-11-11,70.7
Pb,2014-11-11,17.8
Pc,2014-11-11,6.9
Pd,2014-11-11,10.6
P2,2014-11-11,4.5
P3,2014-11-11,8.7
P4,2014-11-11,21.9
P5,2014-11-11,14.6
P7,2014-11-11,
P1,2014-12-09,101.0
Pb,2014-12-09,10.5
Pc,2014-12-09,7.6
Pd,2014-12-09,5.3
P2,2014-12-09,3.2
P3,2014-12-09,11.7
P4,2014-12-09,35.2
P5,2014-12-09,9.9
P7,2014-12-09,
P1,2015-01-13,42.4
Pb,2015-01-13,7.0
Pc,2015-01-13,7.3
Pd,2015-01-13,4.8
P2,2015-01-13,4.8
P3,2015-01-13,2.2
P4,2015-01-13,17.5
P5,2015-01-13,2.9
P7,2015-01-13,10.9
P1,2015-02-10,83.5
Pb,2015-02-10,8.3
Pc,2015-02-10,5.3
Pd,2015-02-10,4.4
P2,2015-02-10,6.6
P3,2015-02-10,6.7
P4,2015-02-10,79.0
P5,2015-02-10,2.3
P7,2015-02-10,
P1,2015-03-10,108.5
Pb,2015-03-10,
Pc,2015-03-10,
Pd,2015-03-10,
P2,2015-03-10,23.0
P3,2015-03-10,10.9
P4,2015-03-10,36.3
P5,2015-03-10,7.6
P7,2015-03-10,
P1,2015-04-07,89.5
Pb,2015-04-07,
Pc,2015-04-07,
Pd,2015-04-07,
P2,2015-04-07,5.9
P3,2015-04-07,5.0
P4,2015-04-07,24.5
P5,2015-04-07,10.4
P7,2015-04-07,4.2
P1,2015-05-12,157.0
Pb,2015-05-12,16.6
Pc,2015-05-12,20.2
Pd,2015-05-12,2.2
P2,2015-05-12,1.9
P3,2015-05-12,7.0
P4,2015-05-12,41.9
P5,2015-05-12,11.0
P7,2015-05-12,
P1,2015-06-10,101.0
Pb,2015-06-10,
Pc,2015-06-10,
Pd,2015-06-10,
P2,2015-06-10,7.9
P3,2015-06-10,10.0
P4,2015-06-10,35.4
P5,2015-06-10,20.3
P7,2015-06-10,
P1,2015-07-08,949.0
Pb,2015-07-08,
Pc,2015-07-08,
Pd,2015-07-08,
P2,2015-07-08,10.3
P3,2015-07-08,64.9
P4,2015-07-08,53.9
P5,2015-07-08,32.9
P7,2015-07-08,112.2
P1,2015-08-12,61.7
Pb,2015-08-12,8.1
Pc,2015-08-12,7.3
Pd,2015-08-12,3.8
P2,2015-08-12,6.0
P3,2015-08-12,10.5
P4,2015-08-12,26.5
P5,2015-08-12,9.5
P7,2015-08-12,
P1,2015-09-09,191.0
Pb,2015-09-09,8.7
Pc,2015-09-09,5.2
Pd,2015-09-09,5.4
P2,2015-09-09,10.5
P3,2015-09-09,8.4
P4,2015-09-09,107.5
P5,2015-09-09,7.2
P7,2015-09-09,
P1,2015-10-07,51.7
Pb,2015-10-07,
Pc,2015-10-07,
Pd,2015-10-07,
P2,2015-10-07,9.4
P3,2015-10-07,8.3
P4,2015-10-07,28.6
P5,2015-10-07,7.0
P7,2015-10-07,11.5
P1,2015-11-11,184.7
Pb,2015-11-11,11.8
Pc,2015-11-11,4.3
Pd,2015-11-11,3.8
P2,2015-11-11,14.0
P3,2015-11-11,7.9
P4,2015-11-11,134.5
P5,2015-11-11,7.1
P7,2015-11-11,
P1,2015-12-09,99.5
Pb,2015-12-09,9.3
Pc,2015-12-09,4.3
Pd,2015-12-09,5.4
P2,2015-12-09,6.0
P3,2015-12-09,3.2
P4,2015-12-09,104.0
P5,2015-12-09,14.4
P7,2015-12-09,
P1,2015-01-13,42.4
Pb,2015-01-13,7.0
Pc,2015-01-13,7.3
Pd,2015-01-13,4.8
P2,2015-01-13,4.8
P3,2015-01-13,2.2
P4,2015-01-13,17.5
P5,2015-01-13,2.9
P7,2015-01-13,10.9
P1,2015-02-10,83.5
Pb,2015-02-10,8.3
Pc,2015-02-10,5.3
Pd,2015-02-10,4.4
P2,2015-02-10,6.6
P3,2015-02-10,6.7
P4,2015-02-10,79.0
P5,2015-02-10,2.3
P7,2015-02-10,
P1,2015-03-10,108.5
Pb,2015-03-10,
Pc,2015-03-10,
Pd,2015-03-10,
P2,2015-03-10,23.0
P3,2015-03-10,10.9
P4,2015-03-10,36.3
P5,2015-03-10,7.6
P7,2015-03-10,
P1,2015-04-07,89.5
Pb,2015-04-07,
Pc,2015-04-07,
Pd,2015-04-07,
P2,2015-04-07,5.9
P3,2015-04-07,5.0
P4,2015-04-07,24.5
P5,2015-04-07,10.4
P7,2015-04-07,4.2
P1,2015-05-12,157.0
Pb,2015-05-12,16.6
