ENTIDADE,DATA,fosforo
P7,2016-10-11,0.19
P1,2016-11-08,4.1
P2,2016-11-08,4.8
P7,2016-11-08,
P1,2016-12-13,5.2
P2,2016-12-13,5.6
P7,2016-12-13,
P1,2017-01-10,0.8
P2,2017-01-10,3.1
P7,2017-01-10,0.9
P1,2017-02-07,2.6
P2,2017-02-07,4.5
P7,2017-02-07,
P1,2017-03-07,12.8
P2,2017-03-07,9.1
P7,2017-03-07,
P1,2017-04-11,5.2
P2,2017-04-11,6.9
P7,2017-04-11,1.9
P1,2017-05-09,11.1
P2,2017-05-09,8.0
P7,2017-05-09,
P1,2017-06-13,2.9
P2,2017-06-13,2.6
P7,2017-06-13,
P1,2017-07-11,4.9
P2,2017-07-11,4.7
P7,2017-07-11,6.5
P1,2017-08-08,5.7
P2,2017-08-08,4.4
P7,2017-08-08,
P1,2017-09-12,8.04
P2,2017-09-12,7.7
P7,2017-09-12,
P1,2017-10-10,5.1
P2,2017-10-10,6.0
P7,2017-10-10,
P1,2017-11-07,5.4
P2,2017-11-07,5.3
P7,2017-11-07,
P1,2017-12-12,0.48
P2,2017-12-12,3.47
P7,2017-12-12,
P1,2017-01-10,0.8
P2,2017-01-10,3.1
P7,2017-01-10,0.9
P1,2017-02-07,2.6
P2,2017-02-07,4.5
P7,2017-02-07,
P1,2017-03-07,12.8
P2,2017-03-07,9.1
P7,2017-03-07,
P1,2017-04-11,5.2
P2,2017-04-11,6.9
P7,2017-04-11,1.9
P1,2017-05-09,11.1
P2,2017-05-09,8.0
P7,2017-05-09,
P1,2017-06-13,2.9
P2,2017-06-13,2.6
P7,2017-06-13,
P1,2017-07-11,4.9
P2,2017-07-11,4.7
P7,2017-07-11,6.5
P1,2017-08-08,5.7
P2,2017-08-08,4.4
P7,2017-08-08,
P1,2017-09-12,8.04
P2,2017-09-12,7.7
P7,2017-09-12,
P1,2017-10-10,5.1
P2,2017-10-10,6.0
P7,2017-10-10,
P1,2017-11-07,5.4
P2,2017-11-07,5.3
P7,2017-11-07,
P1,2017-12-12,0.48
P2,2017-12-12,3.47
P7,2017-12-12,
P1,2018-01-30,1.42
P2,2018-01-30,2.17
P7,2018-01-30,
P1,2018-02-15,1.5
P2,2018-02-15,1.3
P7,2018-02-15,
P1,2018-03-13,4.9
P2,2018-03-13,7.1
P7,2018-03-13,
P1,2018-04-10,4.6
P2,2018-04-10,6.6
P7,2018-04-10,12.7
P1,2018-05-08,5.0
P2,2018-05-08,6.2
P7,2018-05-08,
P1,2018-06-12,1.0
P2,2018-06-12,5.8
P7,2018-06-12,
P1,2018-07-10,0.93
P2,2018-07-10,4.2
P7,2018-07-10,2.1
P1,2018-08-07,3.8
P2,2018-08-07,5.6
P7,2018-08-07,
P1,2018-09-11,4.2
P2,2018-09-11,4.7
P7,2018-09-11,
P1,2018-10-09,3.5
P2,2018-10-09,4.4
P7,2018-10-09,3.8
P1,2018-11-13,5.9
P2,2018-11-13,5.03
P7,2018-11-13,
P1,2018-12-11,3.7
P2,2018-12-11,5.8
P7,2018-12-11,
P1,2018-01-30,1.42
P2,2018-01-30,2.17
P7,2018-01-30,
P1,2018-02-15,1.5
P2,2018-02-15,1.3
P7,2018-02-15,
P1,2018-03-13,4.9
P2,2018-03-13,7.1
P7,2018-03-13,
P1,2018-04-10,4.6
P2,2018-04-10,6.6
P7,2018-04-10,12.7
P1,2018-05-08,5.0
P2,2018-05-08,6.2
P7,2018-05-08,
P1,2018-06-12,1.0
P2,2018-06-12,5.8
P7,2018-06-12,
P1,2018-07-10,0.93
P2,2018-07-10,4.2
P7,2018-07-10,2.1
P1,2018-08-07,3.8
P2,2018-08-07,5.6
P7,2018-08-07,
P1,2018-09-11,4.2
P2,2018-09-11,4.7
P7,2018-09-11,
P1,2018-10-09,3.5
P2,2018-10-09,4.4
P7,2018-10-09,3.8
P1,2018-11-13,5.9
P2,2018-11-13,5.03
P7,2018-11-13,
P1,2018-12-11,3.7
P2,2018-12-11,5.8
P7,2018-12-11,
P1,2019-01-08,1.5
P2,2019-01-08,2.9
P7,2019-01-08,0.7
P1,2019-02-12,1.02
P2,2019-02-12,1.6
P7,2019-02-12,
P1,2019-03-12,1.96
P2,2019-03-12,4.79
P7,2019-03-12,
P1,2019-04-09,4.54
P2,2019-04-09,5.1
P7,2019-04-09,13.21
P1,2019-05-07,2.2
P2,2019-05-07,3.9
P7,2019-05-07,
P1,2019-06-11,2.96
P2,2019-06-11,4.44
P7,2019-06-11,
P1,2019-07-09,3.1
P2,2019-07-09,3.5
P7,2019-07-09,18.2
P1,2019-08-13,2.1
P2,2019-08-13,3.2
P7,2019-08-13,
P1,2019-09-10,3.8
P2,2019-09-10,6.6
P7,2019-09-10,
P1,2019-10-08,2.8
P2,2019-10-08,4.4
P7,2019-10-08,1.6
P1,2019-11-12,3.4
P2,2019-11-12,2.9
P7,2019-11-12,
P1,2019-12-10,5.7
P2,2019-12-10,5.0
P7,2019-12-10,
