ENTIDADE,DATA,DBO
P5,2014-02-05,5.2
P7,2014-02-05,
P1,2014-03-06,98.0
Pb,2014-03-06,17.0
Pc,2014-03-06,8.0
Pd,2014-03-06,7.0
P2,2014-03-06,7.0
P3,2014-03-06,3.6
P4,2014-03-06,92.0
P5,2014-03-06,1.6
P7,2014-03-06,
P1,2014-04-02,156.0
Pb,2014-04-02,33.0
Pc,2014-04-02,19.0
Pd,2014-04-02,50.0
P2,2014-04-02,22.0
P3,2014-04-02,19.0
P4,2014-04-02,60.0
P5,2014-04-02,7.6
P7,2014-04-02,
P1,2014-05-07,590.0
Pb,2014-05-07,38.0
Pc,2014-05-07,26.5
Pd,2014-05-07,15.0
P2,2014-05-07,15.5
P3,2014-05-07,10.4
P4,2014-05-07,74.0
P5,2014-05-07,3.2
P7,2014-05-07,
P1,2014-06-04,230.0
Pb,2014-06-04,53.0
Pc,2014-06-04,44.0
Pd,2014-06-04,36.0
P2,2014-06-04,39.0
P3,2014-06-04,9.2
P4,2014-06-04,132.0
P5,2014-06-04,1.2
P7,2014-06-04,
P1,2014-07-02,
Pb,2014-07-02,
Pc,2014-07-02,
Pd,2014-07-02,
P2,2014-07-02,
P3,2014-07-02,
P4,2014-07-02,
P5,2014-07-02,
P7,2014-07-02,
P1,2014-08-06,102.0
Pb,2014-08-06,56.0
Pc,2014-08-06,29.0
Pd,2014-08-06,32.5
P2,2014-08-06,29.0
P3,2014-08-06,18.8
P4,2014-08-06,76.0
P5,2014-08-06,11.4
P7,2014-08-06,
P1,2014-09-03,160.0
Pb,2014-09-03,33.0
Pc,2014-09-03,33.0
Pd,2014-09-03,35.0
P2,2014-09-03,35.0
P3,2014-09-03,11.8
P4,2014-09-03,76.0
P5,2014-09-03,2.0
P7,2014-09-03,
P1,2014-10-01,290.0
Pb,2014-10-01,42.0
Pc,2014-10-01,57.0
Pd,2014-10-01,43.0
P2,2014-10-01,72.0
P3,2014-10-01,16.0
P4,2014-10-01,52.0
P5,2014-10-01,6.4
P7,2014-10-01,
P1,2014-11-05,104.0
Pb,2014-11-05,22.5
Pc,2014-11-05,20.0
Pd,2014-11-05,8.0
P2,2014-11-05,22.5
P3,2014-11-05,7.0
P4,2014-11-05,22.0
P5,2014-11-05,1.8
P7,2014-11-05,
P1,2014-12-04,110.0
Pb,2014-12-04,32.0
Pc,2014-12-04,18.5
Pd,2014-12-04,12.0
P2,2014-12-04,16.5
P3,2014-12-04,19.0
P4,2014-12-04,83.0
P5,2014-12-04,13.6
P7,2014-12-04,
P1,2015-01-07,130.0
Pb,2015-01-07,2.5
Pc,2015-01-07,14.5
Pd,2015-01-07,26.0
P2,2015-01-07,4.5
P3,2015-01-07,6.8
P4,2015-01-07,15.0
P5,2015-01-07,11.8
P7,2015-01-07,62.7
P1,2015-02-04,48.0
Pb,2015-02-04,10.0
Pc,2015-02-04,6.0
Pd,2015-02-04,6.0
P2,2015-02-04,4.0
P3,2015-02-04,4.6
P4,2015-02-04,48.0
P5,2015-02-04,1.8
P7,2015-02-04,
P1,2015-03-06,147.0
Pb,2015-03-06,
Pc,2015-03-06,
Pd,2015-03-06,
P2,2015-03-06,43.0
P3,2015-03-06,
P4,2015-03-06,
P5,2015-03-06,6.2
P7,2015-03-06,
P1,2015-04-01,360.0
Pb,2015-04-01,
Pc,2015-04-01,
Pd,2015-04-01,
P2,2015-04-01,48.0
P3,2015-04-01,4.4
P4,2015-04-01,97.0
P5,2015-04-01,6.0
P7,2015-04-01,13.5
P1,2015-05-06,280.0
Pb,2015-05-06,60.0
Pc,2015-05-06,76.0
Pd,2015-05-06,28.0
P2,2015-05-06,32.0
P3,2015-05-06,6.8
P4,2015-05-06,148.0
P5,2015-05-06,7.2
P7,2015-05-06,
P1,2015-06-03,331.0
Pb,2015-06-03,
Pc,2015-06-03,
Pd,2015-06-03,
P2,2015-06-03,73.0
P3,2015-06-03,17.0
P4,2015-06-03,128.0
P5,2015-06-03,9.0
P7,2015-06-03,
P1,2015-07-01,156.0
Pb,2015-07-01,
Pc,2015-07-01,
Pd,2015-07-01,
P2,2015-07-01,68.0
P3,2015-07-01,8.1
P4,2015-07-01,83.0
P5,2015-07-01,11.6
P7,2015-07-01,
P1,2015-08-05,131.0
Pb,2015-08-05,39.0
Pc,2015-08-05,8.5
Pd,2015-08-05,15.0
P2,2015-08-05,11.0
P3,2015-08-05,9.0
P4,2015-08-05,50.0
P5,2015-08-05,4.7
P7,2015-08-05,
P1,2015-09-03,224.0
Pb,2015-09-03,44.0
Pc,2015-09-03,39.0
Pd,2015-09-03,31.0
P2,2015-09-03,31.5
P3,2015-09-03,8.6
P4,2015-09-03,104.0
P5,2015-09-03,12.8
P7,2015-09-03,
P1,2015-10-08,47.0
Pb,2015-10-08,
Pc,2015-10-08,
Pd,2015-10-08,
P2,2015-10-08,22.9
P3,2015-10-08,7.6
P4,2015-10-08,11.0
P5,2015-10-08,3.0
P7,2015-10-08,10.3
P1,2015-11-04,151.0
Pb,2015-11-04,22.0
Pc,2015-11-04,16.0
Pd,2015-11-04,24.5
P2,2015-11-04,20.0
P3,2015-11-04,6.6
P4,2015-11-04,70.0
P5,2015-11-04,21.0
P7,2015-11-04,
P1,2015-12-02,204.0
Pb,2015-12-02,36.0
Pc,2015-12-02,16.0
Pd,2015-12-02,7.5
P2,2015-12-02,14.5
P3,2015-12-02,12.0
P4,2015-12-02,188.0
P5,2015-12-02,52.0
P7,2015-12-02,
P1,2015-01-07,130.0
Pb,2015-01-07,2.5
Pc,2015-01-07,14.5
Pd,2015-01-07,26.0
P2,2015-01-07,4.5
P3,2015-01-07,6.8
P4,2015-01-07,15.0
P5,2015-01-07,11.8
P7,2015-01-07,62.7
P1,2015-02-04,48.0
Pb,2015-02-04,10.0
Pc,2015-02-04,6.0
Pd,2015-02-04,6.0
P2,2015-02-04,4.0
P3,2015-02-04,4.6
P4,2015-02-04,48.0
P5,2015-02-04,1.8
P7,2015-02-04,
P1,2015-03-06,147.0
Pb,2015-03-06,
Pc,2015-03-06,
Pd,2015-03-06,
P2,2015-03-06,43.0
P3,2015-03-06,
P4,2015-03-06,
P5,2015-03-06,6.2
P7,2015-03-06,
P1,2015-04-01,360.0
Pb,2015-04-01,
Pc,2015-04-01,
Pd,2015-04-01,
P2,2015-04-01,48.0
P3,2015-04-01,4.4
P4,2015-04-01,97.0
P5,2015-04-01,6.0
P7,2015-04-01,13.5
P1,2015-05-06,280.0
Pb,2015-05-06,60.0
Pc,2015-05-06,76.0
Pd,2015-05-06,28.0
P2,2015-05-06,32.0
P3,2015-05-06,6.8
P4,2015-05-06,148.0
P5,2015-05-06,7.2
P7,2015-05-06,
