ENTIDADE,DATA,óleos
P1,2014-03-12,35.4
Pb,2014-03-12,11.8
Pc,2014-03-12,21.3
Pd,2014-03-12,18.7
P2,2014-03-12,10.0
P3,2014-03-12,15.7
P4,2014-03-12,22.1
P5,2014-03-12,10.0
P7,2014-03-12,
P1,2014-04-09,73.6
Pb,2014-04-09,13.7
Pc,2014-04-09,10.0
Pd,2014-04-09,11.3
P2,2014-04-09,10.0
P3,2014-04-09,15.4
P4,2014-04-09,30.3
P5,2014-04-09,10.9
P7,2014-04-09,
P1,2014-05-14,66.8
Pb,2014-05-14,10.0
Pc,2014-05-14,11.3
Pd,2014-05-14,14.0
P2,2014-05-14,15.5
P3,2014-05-14,17.8
P4,2014-05-14,27.1
P5,2014-05-14,12.9
P7,2014-05-14,
P1,2014-06-11,42.9
Pb,2014-06-11,12.8
Pc,2014-06-11,10.5
Pd,2014-06-11,10.0
P2,2014-06-11,10.0
P3,2014-06-11,16.8
P4,2014-06-11,19.1
P5,2014-06-11,10.0
P7,2014-06-11,
P1,2014-07-09,
Pb,2014-07-09,
Pc,2014-07-09,
Pd,2014-07-09,
P2,2014-07-09,
P3,2014-07-09,
P4,2014-07-09,
P5,2014-07-09,
P7,2014-07-09,
P1,2014-08-13,23.7
Pb,2014-08-13,21.8
Pc,2014-08-13,10.0
Pd,2014-08-13,12.8
P2,2014-08-13,10.0
P3,2014-08-13,15.0
P4,2014-08-13,15.7
P5,2014-08-13,13.4
P7,2014-08-13,
P1,2014-09-10,27.1
Pb,2014-09-10,10.0
Pc,2014-09-10,10.0
Pd,2014-09-10,10.0
P2,2014-09-10,10.0
P3,2014-09-10,30.1
P4,2014-09-10,10.6
P5,2014-09-10,10.0
P7,2014-09-10,
P1,2014-10-08,46.8
Pb,2014-10-08,10.0
Pc,2014-10-08,10.0
Pd,2014-10-08,10.0
P2,2014-10-08,10.0
P3,2014-10-08,17.4
P4,2014-10-08,10.0
P5,2014-10-08,10.0
P7,2014-10-08,
P1,2014-11-12,16.4
Pb,2014-11-12,10.0
Pc,2014-11-12,10.0
Pd,2014-11-12,10.0
P2,2014-11-12,10.0
P3,2014-11-12,10.0
P4,2014-11-12,10.0
P5,2014-11-12,10.0
P7,2014-11-12,
P1,2014-12-10,28.7
Pb,2014-12-10,11.0
Pc,2014-12-10,10.0
Pd,2014-12-10,21.6
P2,2014-12-10,13.3
P3,2014-12-10,13.1
P4,2014-12-10,14.9
P5,2014-12-10,10.0
P7,2014-12-10,
P1,2015-01-13,11.8
Pb,2015-01-13,12.8
Pc,2015-01-13,10.7
Pd,2015-01-13,22.5
P2,2015-01-13,10.0
P3,2015-01-13,51.6
P4,2015-01-13,10.0
P5,2015-01-13,10.0
P7,2015-01-13,24.3
P1,2015-02-10,27.3
Pb,2015-02-10,10.0
Pc,2015-02-10,10.0
Pd,2015-02-10,10.0
P2,2015-02-10,10.0
P3,2015-02-10,10.2
P4,2015-02-10,29.2
P5,2015-02-10,10.0
P7,2015-02-10,
P1,2015-03-10,36.3
Pb,2015-03-10,
Pc,2015-03-10,
Pd,2015-03-10,
P2,2015-03-10,11.4
P3,2015-03-10,7.5
P4,2015-03-10,19.1
P5,2015-03-10,8.3
P7,2015-03-10,
P1,2015-04-07,35.0
Pb,2015-04-07,
Pc,2015-04-07,
Pd,2015-04-07,
P2,2015-04-07,10.2
P3,2015-04-07,10.0
P4,2015-04-07,12.4
P5,2015-04-07,10.0
P7,2015-04-07,10.0
P1,2015-05-12,45.2
Pb,2015-05-12,10.0
Pc,2015-05-12,11.7
Pd,2015-05-12,10.8
P2,2015-05-12,10.0
P3,2015-05-12,10.0
P4,2015-05-12,13.6
P5,2015-05-12,10.0
P7,2015-05-12,
P1,2015-06-09,25.5
Pb,2015-06-09,
Pc,2015-06-09,
Pd,2015-06-09,
P2,2015-06-09,10.0
P3,2015-06-09,10.0
P4,2015-06-09,18.9
P5,2015-06-09,13.1
P7,2015-06-09,
P1,2015-07-07,311.9
Pb,2015-07-07,
Pc,2015-07-07,
Pd,2015-07-07,
P2,2015-07-07,11.5
P3,2015-07-07,16.2
P4,2015-07-07,21.3
P5,2015-07-07,14.9
P7,2015-07-07,13.0
P1,2015-08-13,27.6
Pb,2015-08-13,10.0
Pc,2015-08-13,10.0
Pd,2015-08-13,14.3
P2,2015-08-13,14.5
P3,2015-08-13,12.3
P4,2015-08-13,13.0
P5,2015-08-13,10.1
P7,2015-08-13,
P1,2015-09-10,57.5
Pb,2015-09-10,12.6
Pc,2015-09-10,13.0
Pd,2015-09-10,15.4
P2,2015-09-10,13.4
P3,2015-09-10,10.0
P4,2015-09-10,54.2
P5,2015-09-10,10.4
P7,2015-09-10,
P1,2015-10-08,19.1
Pb,2015-10-08,
Pc,2015-10-08,
Pd,2015-10-08,
P2,2015-10-08,6.3
P3,2015-10-08,8.3
P4,2015-10-08,28.6
P5,2015-10-08,7.0
P7,2015-10-08,11.5
P1,2015-11-12,52.9
Pb,2015-11-12,10.0
Pc,2015-11-12,10.0
Pd,2015-11-12,17.0
P2,2015-11-12,10.0
P3,2015-11-12,10.0
P4,2015-11-12,36.5
P5,2015-11-12,10.0
P7,2015-11-12,
P1,2015-12-10,18.6
Pb,2015-12-10,0.0
Pc,2015-12-10,0.0
Pd,2015-12-10,0.0
P2,2015-12-10,10.0
P3,2015-12-10,10.0
P4,2015-12-10,19.8
P5,2015-12-10,10.0
P7,2015-12-10,
P1,2015-01-13,11.8
Pb,2015-01-13,12.8
Pc,2015-01-13,10.7
Pd,2015-01-13,22.5
P2,2015-01-13,10.0
P3,2015-01-13,51.6
P4,2015-01-13,10.0
P5,2015-01-13,10.0
P7,2015-01-13,24.3
P1,2015-02-10,27.3
Pb,2015-02-10,10.0
Pc,2015-02-10,10.0
Pd,2015-02-10,10.0
P2,2015-02-10,10.0
P3,2015-02-10,10.2
P4,2015-02-10,29.2
P5,2015-02-10,10.0
P7,2015-02-10,
P1,2015-03-10,36.3
Pb,2015-03-10,
Pc,2015-03-10,
Pd,2015-03-10,
P2,2015-03-10,11.4
P3,2015-03-10,7.5
P4,2015-03-10,19.1
P5,2015-03-10,8.3
P7,2015-03-10,
P1,2015-04-07,35.0
Pb,2015-04-07,
Pc,2015-04-07,
Pd,2015-04-07,
P2,2015-04-07,10.2
P3,2015-04-07,10.0
P4,2015-04-07,12.4
P5,2015-04-07,10.0
P7,2015-04-07,10.0
P1,2015-05-12,45.2
Pb,2015-05-12,10.0
Pc,2015-05-12,11.7
Pd,2015-05-12,10.8
P2,2015-05-12,10.0
P3,2015-05-12,10.0
P4,2015-05-12,13.6
P5,2015-05-12,10.0
P7,2015-05-12,
P1,2015-06-09,25.5
Pb,2015-06-09,
Pc,2015-06-09,
Pd,2015-06-09,
P2,2015-06-09,10.0
P3,2015-06-09,10.0
P4,2015-06-09,18.9
P5,2015-06-09,13.1
P7,2015-06-09,
P1,2015-07-07,311.9
Pb,2015-07-07,
Pc,2015-07-07,
Pd,2015-07-07,
P2,2015-07-07,11.5
P3,2015-07-07,16.2
P4,2015-07-07,21.3
P5,2015-07-07,14.9
P7,2015-07-07,13.0
P1,2015-08-13,27.6
Pb,2015-08-13,10.0
Pc,2015-08-13,10.0
Pd,2015-08-13,14.3
P2,2015-08-13,14.5
P3,2015-08-13,12.3
P4,2015-08-13,13.0
P5,2015-08-13,10.1
P7,2015-08-13,
P1,2015-09-10,57.5
Pb,2015-09-10,12.6
Pc,2015-09-10,13.0
Pd,2015-09-10,15.4
P2,2015-09-10,13.4
P3,2015-09-10,10.0
P4,2015-09-10,54.2
P5,2015-09-10,10.4
P7,2015-09-10,
P1,2015-10-08,19.1
Pb,2015-10-08,
Pc,2015-10-08,
Pd,2015-10-08,
