DATE,ALUMÍNIO,COBRE,CROMO,ENTIDADE,MANGANÊS,PRATA
2018-03,0.95,83.9,0.14,QUÍMICA,0.01,0.01
2019-07,7.905,1.285,3.405,QUÍMICA,3.755,
2019-12,0.682,0.87,0.26,QUÍMICA,1.026,
