DATE,ALUMÍNIO,ARSÊNIO,BORO,BÁRIO,CHUMBO,CIANETO,COBALTO,COBRE,COLIFORMES_TERMOTOLERANTES,COR_VERDADEIRA,CROMO,CROMO_HEXAVALENTE,CÁDMIO,DBO,DQO,ENTIDADE,ESTANHO,FENOL,FERRO,FLUORETO,FÓSFORO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NITROGÊNIO,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,NÍQUEL,PH,PRATA,SURFACTANTES,SÓLIDOS,ÍNDICE_DE_FENÓIS,ÓLEOS
2012-01,0.131,,,0.017,,0.005,,,64880.0,,108.0,,,,15.0,P2,46.0,,,0.126,2.21,0.002,0.255,,0.002,,51.9,,,,,,,,
2012-03,1.84,,59.0,0.012,,,0.019,4.04,435200.0,,200.0,0.017,0.009000000000000001,,32.0,P2,95.1,,0.034,0.581,0.17,0.042,4.4,0.909,7.2,,69.5,,,,,,,,
2012-09,0.151,,0.631,0.032,,,,,520.0,,37.0,0.005,,,14.0,P2,42.0,,,0.317,1.67,0.001,0.12300000000000001,,0.002,,6.4,,,,,,,,
2012-11,1.04,0.023,,,,,,,98040.0,,140.0,0.01,,,92.0,P2,261.0,,0.021,0.068,7.03,,0.07,,,,83.8,,0.005,,,,,,
2013-01,,,,,,,,,29090.0,88.0,,,,,9.3,P2,,,,,3.1,,,,,10.7,,,,6.9,,0.21,,,
2013-02,,,,,,,,,25900.0,74.0,,,,34.0,116.2,P2,,,,,2.6,,,,,14.425,,,,6.7,,0.31,13.3,,10.0
2013-03,,,,,,,,,36400.0,,,,,16.0,4.1,P2,,,,,5.9,,,,,42.675,,,,7.9,,0.37,16.7,,15.6
2013-04,,,,,,,,,92080.0,290.0,,,,19.0,41.1,P2,,,,,,,,,,33.9,,,,7.2,,,17.0,,
2013-05,0.11833333333333333,,0.037000000000000005,0.035,,0.011,0.001,0.005,50670.0,182.0,0.004,,,16.5,38.65,P2,,0.016666666666666666,1.0826666666666667,0.241,3.7199999999999998,0.0013333333333333333,0.208,,,57.875,14.310000000000002,18.233333333333334,0.035,7.1,,0.49,2.4,,10.0
2013-06,,,,,,,,,98500.0,353.0,,,,20.0,83.9,P2,,,,,6.1,,,,,42.5,,,,7.3,,0.37,11.7,,10.0
2013-07,0.218,0.002,,0.036000000000000004,0.003,,,0.009000000000000001,123695.0,109.0,0.004,,,36.0,185.75,P2,,,0.973,1.27,2.21,0.001,0.201,,0.002,29.799999999999997,47.3,47.6,0.004,7.4,,0.6,16.5,,10.0
2013-08,,,,,,,,,119800.0,52.97,,,,86.0,12.8,P2,,,,,3.0,,,,,39.349999999999994,,,,7.5,,0.28,14.1,,11.4
2013-09,,,,,,,,,261300.0,97.125,,,,28.0,96.5,P2,,,,,3.2,,,,,34.575,,,,7.6,,0.15,7.7,,13.1
