DATE,ALUMÍNIO,COBRE,CROMO,ENTIDADE,MANGANÊS,PRATA
2019-03,2.295,0.069,0.138,LAB_LCVMAT,1.392,0.01
2019-07,1.03,2.591,,LAB_LCVMAT,0.05,
