DATE,ALUMÍNIO,COBRE,CROMO,ENTIDADE,MANGANÊS,PRATA
2016-04,17.7,0.1,2.91,QUÍMICA,0.05,0.12
2016-08,2.05,0.4,0.64,QUÍMICA,0.01,0.01
