DATE,COLIFORMES_TERMOTOLERANTES,DBO,DQO,ENTIDADE,PH,SÓLIDOS,ÓLEOS
2013-01,100.0,,14.2,P5,6.8,,
2013-02,4100.0,2.8,18.9,P5,7.4,26.1,10.4
2013-03,2780.0,1.2,18.6,P5,9.0,7.2,10.0
2013-04,250.0,6.8,23.3,P5,8.5,8.1,
2013-05,3840.0,21.2,23.5,P5,7.6,37.5,20.8
2013-06,4100.0,4.4,21.4,P5,7.3,19.6,10.0
2013-07,41600.0,6.0,22.5,P5,7.5,50.2,10.0
2013-08,1119900.0,19.2,41.0,P5,7.4,3.0,18.9
2013-09,9870.0,3.2,11.2,P5,7.3,2.9,10.0
2013-10,9870.0,41.7,6.4,P5,7.7,28.5,12.6
2013-11,34480.0,,,P5,,,
2013-12,14800.0,6.0,13.7,P5,8.7,12.7,17.4
2014-01,14800.0,4.8,16.9,P5,9.9,13.4,10.0
2014-02,100.0,5.2,32.4,P5,9.8,4.0,14.9
2014-03,40400.0,1.6,12.1,P5,9.5,4.8,10.0
2014-04,2000.0,7.6,14.8,P5,9.2,2.7,10.9
2014-05,1890.0,3.2,19.4,P5,8.2,3.2,12.9
2014-06,4260.0,1.2,5.0,P5,8.4,6.2,10.0
2014-07,189000.0,,,P5,,,
2014-08,5200.0,11.4,18.5,P5,7.7,6.8,13.4
2014-09,2280.0,2.0,25.5,P5,9.3,4.9,10.0
2014-10,16900.0,6.4,34.1,P5,7.4,11.1,10.0
2014-11,8600.0,1.8,12.3,P5,7.4,14.6,10.0
2014-12,1000.0,13.6,36.9,P5,7.5,9.9,10.0
2015-01,1162000.0,11.8,12.1,P5,8.9,2.9,10.0
2015-02,20460.0,1.8,11.3,P5,9.0,2.3,10.0
2015-03,93300.0,6.2,21.5,P5,7.4,7.6,8.3
2015-04,77100.0,6.0,5.3,P5,7.5,10.4,10.0
2015-05,16070.0,7.2,21.3,P5,7.8,11.0,10.0
2015-06,9800.0,9.0,25.1,P5,7.6,20.3,13.1
2015-07,2000.0,11.6,16.0,P5,7.6,32.9,14.9
2015-08,214300.0,4.7,8.3,P5,7.1,9.5,10.1
2015-09,27500.0,12.8,31.1,P5,7.2,7.2,10.4
2015-10,18900.0,3.0,9.6,P5,7.1,7.0,7.0
2015-11,275500.0,21.0,33.0,P5,6.8,7.1,10.0
2015-12,3700000.0,52.0,79.0,P5,6.7,14.4,10.0
2016-01,2000.0,2.1,13.6,P5,9.5,25.9,10.0
2016-02,1100.0,4.3,23.2,P5,7.1,15.7,10.0
2016-03,330.0,4.9,17.3,P5,9.3,15.5,13.9
2016-04,220.0,6.3,24.3,P5,8.7,13.4,10.0
2016-05,170.0,7.4,6.3,P5,7.6,2.7,10.0
2016-06,3500.0,7.7,26.6,P5,7.3,14.1,11.7
2016-07,1300.0,20.0,35.9,P5,7.5,17.1,10.0
2016-08,790.0,19.6,33.1,P5,6.8,11.4,10.0
2016-09,330.0,8.0,35.4,P5,7.3,5.2,12.8
2016-10,490.0,2.8,19.4,P5,8.3,74.5,26.2
2016-11,460.0,7.2,20.7,P5,8.2,4.0,12.7
2016-12,320.0,2.8,27.5,P5,9.9,2.7,15.6
2017-01,130.0,3.2,17.8,P5,9.8,3.3,10.0
2017-02,170.0,8.4,59.8,P5,7.7,11.7,10.0
2017-03,210.0,5.2,42.0,P5,9.6,17.4,10.0
2017-04,320.0,7.2,18.5,P5,7.6,49.3,15.5
2017-05,700.0,7.0,17.7,P5,7.8,23.6,23.6
2017-06,1300.0,3.6,25.5,P5,7.0,11.6,15.9
2017-07,1100.0,5.6,23.4,P5,7.7,32.9,18.9
2017-08,1300.0,29.0,89.9,P5,8.1,50.9,10.0
2017-09,1100.0,21.0,75.4,P5,7.5,40.6,10.0
2017-10,790.0,5.2,27.3,P5,9.7,34.0,10.0
2017-11,940.0,6.8,39.8,P5,7.7,8.1,10.1
2017-12,1100.0,10.4,40.5,P5,8.1,25.4,10.0
2018-01,220.00000000000003,11.6,52.3,P5,7.2,2.5,14.4
2018-02,2000.0,4.0,18.6,P5,7.4,5.6,12.8
2018-03,390.0,5.6,22.5,P5,7.7,17.4,24.1
2018-04,270.0,7.2,28.8,P5,8.7,21.2,10.0
2018-05,490.0,6.7,29.9,P5,9.6,8.8,10.0
2018-06,240000.0,9.0,31.2,P5,8.0,32.2,10.0
2018-07,490.0,11.2,26.8,P5,7.4,13.0,10.0
2018-08,330.0,8.0,17.7,P5,7.6,9.0,10.0
2018-09,20.0,4.2,25.2,P5,7.5,28.9,27.4
2018-10,20.0,3.2,12.2,P5,7.2,14.6,10.0
2018-11,130.0,20.0,45.3,P5,8.3,29.0,11.5
2018-12,1.8,10.0,26.3,P5,7.2,37.0,26.7
2019-01,2400.0,5.4,29.8,P5,18.9,9.5,18.9
2019-02,210.0,5.6,20.5,P5,8.7,14.3,18.4
2019-03,330.0,7.2,37.5,P5,8.0,7.6,11.9
2019-04,170.0,8.0,55.3,P5,,,12.3
2019-05,490.0,1.4,19.4,P5,7.6,6.8,15.9
2019-06,34.0,7.8,10.1,P5,7.6,3.0,15.0
2019-07,340.0,8.0,11.1,P5,7.2,14.2,11.3
2019-08,1300.0,13.4,21.3,P5,7.7,13.7,10.0
2019-09,9200.0,10.6,29.3,P5,7.8,8.7,11.4
2019-10,210.0,13.2,26.0,P5,8.4,2.8,10.0
2019-11,490.0,5.7,18.2,P5,7.4,3.9,10.0
2019-12,490.0,3.5,16.8,P5,7.4,3.3,10.7
